129,485,1
148.2,863.6,1
151,415,1
152,504,1
169,231,1
186,859,1
310.5,519,1
343,1172,1
353,604,1
385,1182,1
390,1305,1
481,868,2
482.33,391.67,1
487.29,450,1.7143
491,196.5,1
502,1236,1.5
511.33,443.33,2.1667
518.33,1078.7,1.3333
586,962,1
706.29,603.71,1.4286
738,942,1
761,1047,1
860,1140,1
860,1157,1.5
862,1157,1
863.5,1021.5,1
864,1143,1
888,577,1
918,158,1
921,980,1
922,156,1
953,1275,1
959,1053,1
978.33,662.67,1
1009,244,1
1065.7,699.93,1.0667
1114.5,645,1
1131,647,1
1147,522,1
1233,1203,1
1316,447,1
1348,292,1
1377,254.5,1
1389.2,344.5,1.75
1405.4,862,1
1458.5,949.5,1.5
1462,404,1
1463,526.25,1.5
1509,533,1
1529,1146.5,1
1554,594,1
1581,983,1
1583,985,1
1593.3,1006.3,1
1602.3,274,1.6667
1602,276,1
1661,1129.5,1
1695.2,1037.7,1.8333
1693,1137,1
1694,820,1.5
1705,456,1
1772,860.5,1
1794,789,1
1798,679,1
1800,677,1
1800,679,1.5
1829,747,1.5
1837,807,1.5
1895.5,349,1
1990.5,744,1
2180,450,1.6667
2220,1064,1
2322,360,1
2333,822,1
2370,539.5,1
2378.7,429,1.8333
2482.8,851,1.75
2584,1045.7,1.3333
2618,376,1
2700.9,371.21,2.0909
2784,572,1
2846,772,1
2867,717,1
2873,942,1
137,738,2
175,266,2
246,1032,2
275,881,2
323.67,514.67,2
348,728,2.5
385,1178,2
391.33,389.33,2
399,455,2
404,743,2
415,820,2
496.67,1028.7,2
502.5,757,2
516,600,2
534,837,2
611,130,2
657,573,2
672,753,2
702.5,999,2
702.33,1001,2.3333
715,252,2
754,888,2
782,989,2
790,409.5,2
842,560,2
883,422,2
929,185.33,2.1667
942,215,2
941.5,213,2
963,392,2
965.08,680.58,2.6667
978,399,2
981.67,660.33,2
1061,700,2
1062.5,885,2
1064.2,887.25,2
1064,357,2.5
1092,224,2
1094,223.5,2
1129,650,2
1131,649,2
1144,626,2.5
1154,494,2
1288.3,1097.3,2
1301,845,2.5
1328,654,2
1348,290,2
1354,491,2
1373,983.5,2
1383.5,227,2
1397,1009,2.5
1437,313,2
1517,641,2
1524,311,2.6667
1556.5,1053,2.3333
1562,1112,2
1583,345,2
1667,814,2
1672,855.5,2
1674,856,2
1680.9,813.45,2
1689.5,526.5,2
1693,1135,2
1694,822,2
1746,749,2
1809.5,1074.5,2
1918.5,912,2
1920,914,2
1969,930,2
1971,461,2
2029,1189,2
2086.3,416.33,2
2093,875,2
2109,781,2
2114.1,446.5,2
2150,769,2
2154,368,2
2170,875,2
2275.3,687.67,2.5
2280,721,2
2312,770,2
2314,772,2.5
2327.5,457,2
2349,491,2
2355.5,625.5,2
2361,628,2
2374.2,539.25,2.5
2375.5,430,2
2380.9,1027.1,2.4444
2383,444,2.5
2407,610,2.8
2416,804,2
2416,806,2
2453,317,2
2516,827,2
2550,524,2
2624,722,2
2638,403,2
2725,933,2
2727,929,2
2744,444,2
2782,568,2
2782,570,2
2859,896.5,2
2862,897,2
2872,553,2
2899,930,2
2899,934,2.5
2915.5,972.25,2
79.667,442.33,3.3333
126,469,3
151.5,864,3
223,495,3
249,215,3
330,194,3
330,196,3
346,728,3
348.5,604,3
377,1070,3
396,914,3.5
461.67,200,3.3333
482,870,3
493,299,3
518,987,3
635,368,3
644,675,3
701.5,1136,3
702,1134,3
719,1042,3
719,1044,3
727,419,3
738,942,3
760,399,3
764,1089,3
785.5,250,3
797,466,3
861.5,1021,3
866,682,3
872,812,3
911,1241.5,3
922,1119,3
936.43,1132.8,3.5714
953,906,3
958.5,359,3
978,194,3
1054,1050,3
1068,575,3.5
1070,575,3.5
1072,575,3.5
1099,1186,3
1113,951,3
1115,951,3
1202,376,3
1224,357,3
1225,253,3
1226,1050,3
1228,1050,3
1239,492,3
1241,492,3
1246.2,296.5,3.1667
1289,488,3
1301,843,3.5
1326.5,493.5,3
1330,883,3
1349,865,3
1352.5,330,3
1353,328,3
1375,996,3
1377,468,3
1379,469,3
1400.3,524.33,3.6667
1420,1105,3
1420,1107,3
1433,313,3
1435,313,3
1435,315,3
1437,315,3
1439,604,3.6667
1440,900,3
1451,745,3
1453,745,3
1459,951,3
1462,675,3
1487,1030.5,3
1492.5,687,3
1504,591,3
1526.5,263,3
1527,261,3
1538,440,3
1610,1198,3
1651,239,3
1668.5,340.5,3
1671.8,963.64,3.32
1715,866,3
1717,866,3
1719.5,424.5,3
1725,608,3
1749.6,882.71,4.2857
1752,447,3
1754,445.5,3
1765,993,3
1785,1010,3
1826,1170,3
1828,1170,3
1837,1136,3
1859,1014,3
1945.7,389.33,3.3333
1977.5,450,3
1992.5,742,3
1993,744,3
1993,909,3
2009,324,3
2090,636,3
2111.5,767,3
2156,365,3
2156,367,3
2156,369,3
2219.7,641.14,3
2236,581,3
2282,721,3
2310,793,3
2335,398,3
2365,330.5,3
2374,979,3
2384,390,3
2389,1126,3
2420,365,3
2420,367,3
2522,373,3
2622,373,3
2640,427,3
2763,421.5,3
2766,792,3
2793,589,3
150,411,4
154,527,4.5
223,894,5
225,894,4
244,1032,4
250,831,4
412.33,487.33,4
423,936,4
456,804,4
462.5,202,4
512,1081,4
515.5,1079,4
524.5,351,4
539,187.5,4
550,1274,4
551,754,4
624,670,4
640.77,554.82,6.0909
686,1016,4
727,281,4
734,905,4
749,891,4
762,431,4.5
837,200,4.5
837,202,4
889,1035,4
889.5,1037,4
935,860,4
972,1141,4
972,1143,4
980,196,4
1018,1221,4
1031,321,4
1031,323,4
1033,321,4
1038,181,4
1053,212,4.5
1055,212,4
1067.6,689.4,4.2
1103.7,853.29,4
1129,647.5,4
1148.6,1006.4,4
1163,393,4
1207,563.5,4
1212,1156,4
1220,444,4
1227.5,1115,4
1259,609,4
1278,346,4
1280,346,4
1291,488,4
1300.5,886,4
1301,884,4
1302,634,4
1334.5,797,4
