"col","row","z"
1405,192,0
720.5,236,0
1454,304,0
1168,312,0
752.67,334,0.6667
753,336,0.5
962,414,0.5
1434,419,0
1077,436.5,0
876.67,478,0.6667
1486,490,0
652,580,1
991.5,600.5,0
1488.5,602,0
877.67,694.33,0
1439,703.5,0
1128,737,0
1315,785,0
687,859.5,0
848.5,865.5,0
692,917,0
728,985,0
730,985,0
1429,990,0
1195,1048,0
1355,1056,0
1087.8,1104.6,0
971,1152,0
1278,1163,0
704,1218,0
1605,1346,0
1607,1346,0
1068,1428,0
1265,1579,0
392,1631,0
1643.2,1645.2,0
1408,1651.7,0.3333
1406,1652,0
1516,1653,0
1499,1666,0
1384,1675,0
1384,1677,0
1131,1678.5,0
1133,1678.5,0
993.27,1691.9,0.6
520.33,1711.5,0.3333
462.92,1723.2,0
1123,1827,0
1123,1829,1
864,1921,0
718,1954,0
1292,1982,0
704.95,2013.2,0.3
707,2019,0
1300.5,2033,0.5
1353.5,2173,0
1383,2247,0
1180,2268,0.75
999,2339,0
1033,2348,0
548,2472,0
1161,2574.8,0
770,2749,0
1150,2756,0
751,2826.5,0
1315.5,2834,0
1576.5,2851,0
1257,2881,0
601,3001,0
885,183,1
675,189,1
1288,195,1
1533,215,1
1276,255,1
326,257,1
1274,257,1
1348,276,1
1348,278,1
1454,301.5,1
1235.5,334,1
273,340,1
1447.5,352.5,1
971,445,1
1203,461.5,1
1343,482,1
1473,499,1
1457,535,1
755,539,1.5
757,539,1
1138,558,1
1075,583,1
1267.5,583.5,1
1445,588,1
396,604,1
504,616,1
1353,629,1
1382.4,659.2,1
1252,703,1
1422,733,1
1271,759,1
1346,771.5,1
955,781,1
954.5,783,1
824,832,1.5
826,832,1
385,835,1
1227.5,899,1
643,933,1
728,981,1
1395.7,982.67,1
728,983,1
608,985,1
610,985,1
1429,988,1
967,1022,1
772,1101,1
953,1127,1
955,1127,1.5
1351,1134,1
307,1158,1
1278,1167,1
378,1225,1
1060,1317,1
864.5,1320,1
1593.5,1344,1
1031,1392,1
1378,1482.5,1
1537,1495,1
1093,1507,1
1087.5,1549,1
1447,1587,1
915,1608,1
653,1611,1
655,1611,1
1273,1619,1
392,1633,1
394,1633,1
1502,1662,1
1310,1668,1
881,1689,1
885.67,1696,1.6667
1504,1707,1.5
704,1708,1
1502,1709,1
1386,1713.5,1
584,1714,1.5
829,1750,1
831,1750,1
866,1791,1
1351,1846,1
1438,1887,1
776,1930,1
778,1930,1
1487,1974,1
1450.1,1990.9,1.4286
921,1991,1
1041,2079,1
1421,2178,1
1423,2180,1
1144,2190,1
1133,2200,1
1402,2207,1
1238,2318,1
489,2427.5,1
562,2496,1
1703,2503,1
1321,2645,1
1635,2740,1
692,2808,1
694,2808,1
435,2823,1
1645,2850,1
1381,155,2
1381,157,2
611.67,196,2
976,236,2
976,238,2
630,249,2
632,251,2
485.5,292,2
273,342,2
901,361,2
1530,371,2
1071.5,417,2
1147,446,2
1363,459,2
999,478,2
574,509,2
828,526,2
898,553,2
703,557.5,2
1000,570,2
768,590,2
1034,595,2
394,608,2
817,659.5,2
1384,663,2
1286,729,2
1014,816,2
486,826,2
1181,859,2
1158,873.6,2
478.5,877,2
606,983,2.5
1449,1009.5,2
1360,1063,2
361,1071,2
883,1086.5,2.5
1397.5,1102,2
955,1125,2
345,1131,2
1182.5,1133,2
1182.5,1135,2
1277,1169.5,2
431,1203,2
703.5,1220.8,2
1304,1259,2
1302,1261,2
1304,1261,2
931.5,1286,2
857.33,1344.3,2
890,1381,2
1403,1383,2
837.33,1398.3,2
1445,1399,2
1124,1401,2
584,1418,2
734,1444,2
1471,1475,2
1251.7,1478.7,2
1250,1484,2
322,1563,2
951.5,1569,2
1416,1570,2
936,1578,2
1223,1615,2
1516,1651,2
1159,1668,2
1151,1675.5,2
1050,1685,2
1016.3,1687.3,2
886,1694,2.5
706,1713,2
718,1713,2
455,1722,2
1468,1731,2
825,1763,2
1483,1800,2
1352,1848,2
1485,1903,2
416,1942.3,3
1570,1963,2
1584,2054,2
1584,2056,2
489.6,2123,2
1020,2187,2
1193.5,2280,2
446.33,2287.7,2
765,2323,2
934,2390,2
936,2390,2
1203,2401,2
487,2430,2
876,2452,2
563.67,2526,2
751,2560,2
751,2562,2
1029,2617.5,2
1031,2617.7,2.6667
973,2720.5,2
1575.5,2849,2
820.75,2947.2,2.5
1279,134.5,3
1128,151,3
1384,156,3.5
1289,194,3
614,195,3
1131,236,3
1288.5,295.75,3.75
1451,296,3
1523,321,3
1172,337,3
618,356.5,3
1049,383,3
1168,419.5,3
1170,419,3
1163,436,3
1078,440,3
468,449,3
563,491.75,3.25
518.5,494.5,3
384,552,3
1350,554.5,3
515,742,3
246,790,3
1232,795,3
766,812,3
628,872,3
1469,885,3
862,899,3
862,901,3
1229,903,3
1496,916,3
977,947,3
608,983,3
1068,1009,3
1372,1052,3
1372,1054,3
1330,1069,3
1075,1082,3
861,1094.5,3
515,1095,3
776.5,1098.5,3
776,1101,3
935,1105,3
953,1125,3
935,1126,3
896,1129,3
707,1138,3
325,1163,3.5
1300,1247,3.5
1302,1247,3
1060,1318,3.5
1396,1321,3
892,1381,3
1142,1393,3.5
1158,1421,3
1535,1432,3
1069,1473,3
1537,1494.5,3
957,1506,3
1529,1506,3
1020.7,1537.3,3
1002,1572,3
729.6,1607.8,3.4
1105,1629,3
1487,1650,3
1372.5,1658,3
1396,1659,3
1309.5,1666,3
1331,1667,3
1309.5,1668,3
1250,1670.3,3
912,1690,3
1017,1690,3
761,1700.5,3
453.5,1715.5,3
463,1720.5,3
459.83,1722.5,3
524,1727,3
646,1739,3
623,1746,3
1112.5,1764.5,3
1610,1798,3
783.2,1814,3.4
613,1818.5,3
774,1908,3
780,1930,3
418,1942.5,3
1562,1950,3
1425,1978,3.5714
917.5,1989,3
1540,2049,3
1391,2078.5,3
953,2128,3
822,2148,3
894,2166.5,3
890,2168,3
894,2169,3
1673,2455,3
1280,2532,3
1173.5,2633,3
467,2634,3
1172,2637,3
1323.5,2646,3
1559,2647,3
851,2719,3
1008,2725,3
693,2804,3
1386,2809,3
1128,149,4
1225.8,233.5,4.3333
752,234,5
679,267,4
679,269,4
677,271,4
530,275,4
523,312,4
636,314,4
622,338,4.5
1191,346,4
995,357,4.6667
461,367,4
1023,396,4
1226.5,420.5,4
1171.2,421.75,5.25
1172,424,4
1367.5,481.5,4.5
1141,514,4
1143,516,4
472,529,4
975,555,4
1228,607,4
1228,609,4
325,625,4
731,638,4
403,652,4
541,670,4
1001,699,4
1001,701,4
1355,705,4
1334,711,4
1177,789,4.5
768,814.5,4
480,875,4
828,875,4
1054,959,4
711.89,984.65,5.8454
1042,1048,4
1223,1069.5,4
1247.6,1071.8,4
890,1081,4
937,1086,4
930.5,1126,4
1064,1131,4.5
1176,1149,4
521,1162,4
846,1168,4
875,1187,4
1105,1224,4
948,1277.5,4
950,1277.5,4
367,1284,4
661,1297,4
663,1297,4
990,1306,4
990,1308,4
621,1311.5,4
1296,1314,4.5
541,1383,4
1153,1387,4
1282,1414,4
456.5,1431,4
1106.5,1444.2,4.1667
1017,1540,4
1086,1573,4
1183.3,1578.7,4.3333
879,1642,4
723,1676,4
725,1676,4
1093.8,1682.8,4.1818
999,1689,4
801,1694,4
451,1720,4
525,1722,4
419,1732,4
959,1787.5,4
1511,1817,4
1512.8,1822,4
1357,1895,4
1509,1974,4
899,2013,4
810.4,2019.2,4
807,2020.5,4
368,2050.5,4
1391,2051,4
366,2053,4
1387,2090,4
402,2189,4.5
402,2191,4
1219,2246,4
1192.5,2276.5,4
883,2460.5,4
1047,2474.2,4.9592
1024,2480,4.7143
1046.5,2484.3,4.9833
1003,2488,4
1017,2489,4
560,2522,4
1167.5,2579,4
1132,2588.2,4.3333
1315,2597,4
492,2609,4
469,2636,4
1394,2804,4
897,2842,4
1141,152,5
1386.5,155.5,5
1280.3,197.33,5
842,226,5
750,234,5
1235,309,5
624,338,5
624,340,5
1295.3,455.67,5
1434.8,551.8,5
1056,567,5
1502.6,571.31,5
1436,573,5
1495,600.09,5.0072
325,629,5
418.5,734.5,5
400.82,749.64,5.7273
444.93,750.46,5.9024
513,778.04,5.9971
433.35,770.9,6.0017
547.59,816.95,5.9948
476.5,788.44,6.0018
1231,794,5
393,809,5
626.78,868.92,5.9803
595.45,904.46,5.9836
676.79,900.3,6.0122
654.83,907.21,5.9905
697.89,916.77,5.9924
694.55,935.77,6.0102
767.62,946.71,6
775.63,969.27,5.9839
707.37,954.19,6
732.7,985.59,5.9528
713,992.67,5.6667
825.23,1024.3,5.9948
825.74,1056.1,5.9861
1043.5,1051,5
1043.5,1053,5
860.47,1070.2,6.0508
1309,1083,5
813,1091.2,5.2
853.46,1137.6,6.0041
1362,1102,5
1355,1125.2,5
1064,1129,5
803,1153,5
804.66,1198.5,5.9827
826.61,1252.2,6.0025
774.17,1264.7,6.0063
1328.5,1268,5
1324,1278,5
1329,1278,5
367,1286,5
782.75,1296,6.0351
788,1303,5
1498,1310,5
1498,1312,5
686.8,1321.2,5.4
662.8,1326,5.8
1310.5,1332,5
1301.1,1339.2,5
1298.5,1346,5
1298.5,1348,5
1317.4,1351.9,5
1005,1349,5
1298.5,1350,5
857.5,1377,5
1280,1414,5
1257,1490,5
1574,1497.5,5
1578,1502,5
1262,1647,5
1262,1649,5
1258,1651,5
1296,1668.5,5
1135.5,1671,5
1147.5,1673,5
1107,1680,5
1253,1681,5
951,1689,5
978,1690,5
980,1690,5
772,1697,5
715,1701,5
1367.4,1703.4,5
719.5,1711,5
720,1713,5
1596,1718,5
1596,1720,5
1594,1722,5
1596,1722,5
421,1733,5
1553.9,1737.1,5
1549,1741,5
1551,1741,5
1536,1743,5
1551,1743,5
1536,1745,5
408,1956,5
965.38,2076.8,5
404,2189,5.5
1111,2208,5
991,2438,5
656,2441,5
1040,2472,5
1042,2472,5
1016,2473,5
1040,2474,5
1042,2474,5
1040,2476,5
1042,2476,5
1020,2477,5
1022,2477,5
1014.8,2485.8,5
1019,2490,5
1046,2490,5
847,2491,5
1014,2502,5
1073,2503,5
1078,2504,5
1016.5,2507,5
1079.9,2508.3,5
1010.7,2509.7,5
1038.2,2512.5,5
1070.4,2512.8,5
1026.3,2516.9,5.0149
1030,2513.5,5
1032,2513.5,5
724,2514,5
1007.1,2515.1,5
1051.7,2516.3,5
1118,2514,5
1018.1,2518,5
1051.9,2531.2,5
1058,2526,5
1060,2527,5
1056,2527.5,5
1054,2528,5
1058,2528,5
1055,2530,5
1063.4,2532.9,5
1072.3,2537.4,5
1096.5,2541.1,5
1057.8,2545.8,5
476.8,2550.6,5
1062.7,2558,5.02
1102.5,2555.2,5.1053
813,2554,5
815,2554,5
472,2555,5
470,2558,5
812.4,2559.8,5
1034.4,2562.8,5
1026,2561.5,5
1106.7,2562,5
812.8,2564.4,5
1041,2564,5
1013,2565,5
1015,2565,5
1017.5,2565.5,5
772,2568,5
1018,2568,5
917,2569.5,5
919,2569.5,5
921,2569.5,5
774,2570,5
1018,2570,5
774,2572,5
917,2572,5
919,2572,5
921,2572,5
1047.3,2573.7,5
917,2574,5
919,2574,5
921,2574,5
1027,2574,5
778.65,2577.4,5
820,2577.5,5
820,2580,5
822,2580,5
799,2582.5,5
811.93,2586.3,5
820,2582,5
822,2582,5
820,2584.5,5
822,2584.5,5
1123,2584,5
1121,2585,5
805,2586,5
841.2,2586.4,5
1121,2588,5
807,2590,5
