273,608,1.25
288,652,1
295,738,1
309.5,471,1
310,473,1
312,469,1
323,770,1.5
326.67,798,1.3333
335.33,470.33,1
347.33,626.67,1
348.5,633,1.5
349,631,1
359,848,1
365,585,1
365,750.75,2
368,756,1
370,789,1
377,780,1
378,933.5,1
377,941.5,1
380,835,1.5
384,747,1
391.67,729.67,1
395.5,733.75,1.25
396.5,980.5,1
403.38,703.38,1.125
407,836.25,1.25
409,627,1
412,802.5,1
412,710,1
413,757,2
415,417.5,1
416.75,855.44,2.875
418,518,1
418,520,1
419,782,1
419,795,1.5
419,830.8,1.6
423.5,855.25,1.25
425,412.5,1
428,784,1
429.89,849.11,1.1111
430,672,1
431.5,734.5,2.1667
433,884,1
434,661,1
435.23,683.92,3.8462
436.33,880,1.3333
436,956.5,1
441,516,1
443,594,1
449,936,1.5
452,855,1.8
452,705,1
454,705,1
454,1140.5,1
455.8,1135.6,1
457.33,854.67,2.1111
459.25,892.62,1.125
460.5,1020,1
461,898,1
461,1150.5,1
461,1155,1
463.17,491.33,1.3333
463,958.5,1.5
463,971,1
463,973,1
466,621,1
469.88,984,1.75
469,1151,1
470,650,1.5
473,1118.6,1.5714
473,507,1
474.62,965,1.625
477.82,899.36,3.4545
478.12,907,2
477,981,2
478,1171,1.3333
478,499.67,2.25
478.5,1173,1.5
479,858,1
479.27,932.18,1.6364
480,775,1
480,777,1
483.5,800.5,1.5
488,847,1
488,1028,1
488,1034,1.5
492.33,639.33,1
493.27,1036.8,1.4545
500,660,1
501.5,664,1
505.76,690.71,1.5882
507.5,962,1
515.07,654.24,3.8621
514,497,1
514,499,1.5
514.2,799.8,1.4
514.9,1017.7,2
516.4,1053.9,1.6
517,1025,1
518,365.5,1
518.8,648,1.6
518,750,1
518,1091,1
519,582,1
520,366,1
520,661,1
521,515,1
523.33,579.33,1.6667
524.92,807.54,1.3077
523,1093,1
524.33,758.67,1.6667
525.8,1103.3,3.6
532.85,518.27,2.8077
531,1337,1
536,964.5,1
538,429,1
538,431,1
537.83,444.67,2
540,1077.5,1
542.57,1087.3,1
544.38,759,1.375
542,1077,1
543.33,509.33,1
545.67,1056.7,1
547,1109,1
546.94,1098.2,2
548,1315.2,1.4444
549,1107,1
550,811.5,1
552,1393,1
554.5,455,1.5
555,655,1
556,449,1
560,981,1.5
561.38,1324.7,1.4615
560,646,1
561,807.5,1.5
562.88,494.81,2.625
563,1359.5,1
565,602,1.5
565.6,1028.4,1.2
566,375,1
565.75,512.5,1.75
567.33,906.92,2.3333
569,923,1.5
573.06,1115.6,2.6471
572,342,1
572,730,1
572,976,2.8571
573,1026,1
574,980,1
576,739,1
579,307,1
579,1330,1
580.5,1328,1
580.6,1358.4,1.6
580.67,956,1.6667
583,451.17,2
584,950,1
586,509,1
587,956,1
588,507,1
588.57,767.57,2.4286
595,1006,2.4
595.88,840.25,1.25
598.33,679.83,2.5
599,853,1
601.36,842,1.4545
601,1416,1
602,1139.7,1.3333
603,1412,1
603,1414,1
604,1244,1
605.12,371.38,1.75
609,686,1
609.5,910,1
612.17,1128.2,1.5
612,1419,1.5
614,1269.3,1.3333
615.33,942,1.6667
616,940,1
616.33,968.67,1
617,978,1.5
618.67,1007.7,1.5
619,1122,1.25
619,1244,1
620,1124,1
621,1244,1
622,1114,1
622,1116,1.5
624.83,982.5,1.3333
624,1116,1.5
624,1357,1
630,975.89,1.5556
633.33,969.67,1
633.33,1426.7,1
637.33,1121.4,1.75
637,1140,1
638,421,1
638,787,1.5
638.5,1098.5,1
639,552.67,1.6667
641.79,793.05,1.5263
642,970,1
643,975,1.5
644,945.2,1.6
644,998,1
644.5,1003.5,1.5
644,1142,1
644,1253,1
645,639,1
646,1144,1
647,528,1
648.53,988,2.2353
647,1265,1
648.67,941.33,1
650.25,1158.1,1.25
650,995,1
651.4,1266.8,1.6
652.5,1326,1.5
649.43,1411.3,1.8571
653,1341,1.5
654,524,1
655.67,1324,1.3333
660.82,1370.1,2.8824
660,1297,1
660.5,1629,1
662.5,1536,1.5
661,1631,1
662,1297,1
665,1124,1
665.4,1262.9,1.4667
666,967.6,1.4
666,1517,1.5
667,636,1
667,1122,1
672.5,834,1.3
670,1461,1
672.75,1386.2,2
673.78,1555.6,1.5556
675.74,1144,2.087
675,813,1
675,1114,1.5
678,1585,2.2
680.38,776.85,1.7692
679.5,1473,1
679.5,1475,1
679.9,1428.2,2.1
681.67,1120.3,1.5
685.5,1471,1
686.75,1542.3,1.9167
690.86,604.86,1.2857
689.33,1322.7,1
690.6,1653.8,1.6
690.2,607,1.6
690,1646,1
691,598,1
692.5,1661.5,1
693,600.33,1.6667
693,1410,1
694.5,1176,1
695,602,1.5
695,1412,1
698.5,1366,1
699,1318,1
699,1368,1
700,1443,1.5
700.71,1396,1.2857
702,1346.7,1.3333
703,554,1.5
702.11,1098.1,2.8947
703,1729,1.5
703,1758,1
703,1764,1
705,828,1
706,697,1
705.75,1095.2,2
707,721,1
709,1347.5,1
709,726,1
709,1256,1.5
710.25,1019.5,1.75
711,1028.4,1.6
711.5,1098.6,1.6667
713,765.6,1
712,828,1
712,834,1.5
712,1329,2.2
713.5,985.75,1
713.33,1034.3,1
714,1424.8,1
715,1036,1
716,604,1
716,765,1.5
717,1036,1
718,784,1
718.62,1245.8,1.5
719,295,1
721,686,2
721.67,1533,1.3333
724.91,684.64,2.5455
723,688,1
723,1102,1
724,602,1
724,604,1
724,631,1
726,366,1
726,872,1
728.67,364,1.6667
728,581,1
728,1597,1
729,309,1
729.2,1501.5,1.6
730,362,1
731,736,1
731.06,1196.3,2.6875
732,1504.7,1.3333
732,1833,1
732.83,906.67,1.8333
733,1127,1
733.33,1487.7,1
734.57,630.71,1.5714
734.5,831,1.5
735,1133.8,1
734,1377,1
733.67,1490,1.6667
735,668,1.5
738,787.07,2.0714
740,1163,1
741,1759,1
742,625,1
740.82,1122.2,1.7273
742.88,609.75,2.5
744,625,1.5
744,1064,1.5
745.14,1087.6,1.7143
746,1066,1.5
747.75,1140.1,2.5
748.08,1229.5,1.6667
747,1639,1
