"col","row","z"
702.17,124,0.3333
740,137,0
1379,163,0
1081,199,0
998,203,0
613.29,233.71,0.8571
1418.8,243,0.25
669,309,0
1853,364,0
539.67,390,0
952,396,0
1064,472,0
498,507,0.5
500,507,0.5
1007,572,0
1009,572,0
512,605,0
1086,615,0
1560,628,0
1181,679,0
1348,699.6,0
1348,702,0
865.33,711,0
1508,715,0
1477,739,0.5
1479,739,0.5
1143.5,773,0.5455
1140,774.5,0
1642.5,792.5,0
1278,805.5,0
1156,866,0
1151.5,868,0
1154,868,0
1165.5,875.5,0.5
1328,888,0
1388.8,891.25,1.5833
1299,909,0
1368,959,0
1370,959.5,0
687.5,967,0
722,976,0
724,977,0
1360,984.5,0
1636.3,1049.6,0.75
1404,1062,0
692,1072,0
1124,1079,0
1126,1079,0
1037,1085,0
1031,1087,0
1667.3,1100.7,1
1213.5,1103,0
1287,1120,0
1287,1122,0
1287,1124,0
1699,1153,0.6
1695,1154,0
1697,1154.3,0.6667
1254,1162,0
1265,1181.5,0
1141.5,1287,0
585,1301,0
585,1303,0
1191,1311.5,0
907,1348,0
1072,1372,0
948.5,1416,0
1078,1421,0
1053,1471,0
1629.6,1515.3,1.2857
1696,1540,0
1695.5,1542,0
1596,1544,0
1695.5,1544,0
846,1587,0
1318,1602,0
778,1609,0
877,1614,0
935,1661,0
937,1661,0
1329,1685,0
637,1717,0
1614.6,1817.5,0
1399,1822,0
371,1825,0
1596,1828.5,0.0625
369,1829,0
1594,1832,0
1634,1850.5,0
1632,1851,0
1473,1863,0
1475,1863,0
1514,1879,0
482,1901,0
483,1903,0
658,1955,0
658.5,1957,0
475,1961,0
401,2074,0.5
401,2076,0
1288,2093,0
607,2128,0.3333
365.5,2277.5,0
375.67,2277.3,0
1246.5,2340,0
1246.5,2342,0
173,2367,0
171,2371,0
645.62,2396.5,0
580,2492,0
986,2497,0
591,2531,0
1383,2539,0
1385,2539,0
605,2578,0
741,2589,0
743,2591,0
741.33,2593.3,0
1514,2601,0
485,2639,0
1226,2639,0
1418.7,2682,0.3333
842,2753,0
844,2753,0
679.5,2885.5,0
806,2905,0
1000.7,2905.3,0
1003,2906,0
1005,2906,0
1470,2939,0
1470,2941,0
1470,2943,0
1423,2985,0
702.5,120,1
703,122,1
1828.5,198,1
998,205.5,1
1536,219,1
1420,245,1
807,285,1
1025,285,1.5
807,287,1
550,295,1
1017.7,305.67,1
1352,306,1.5
582.5,326,1
551,381,1
1037,381.5,1
1133,381.33,1.3333
1504,383,1
537,392,1
537,394,1
1494,413,1
771,440,1
1520,452,1.5
1522,452,1
839.67,465,1.6667
679,468,1
681,468,1
735.14,471.86,1
1003,502,1
554,508,1
498,509,1
500,509,1
784,564,1
569,568,1
1011,570,1
726,587,1
726,589,1
643,624,1
1561,624,1
1013.7,625.33,1
1332,634,1
1373.5,673,1
836,679,1
1086.5,683.5,1.25
1276,702,1.25
1278,702.5,1
1142,777.5,1
1385.5,887.33,1
817,952,1
811.5,1006.5,1
1023,1024,1
1023,1026,1
437,1059,1
439,1059,1
1004,1059,1
437,1061,1
439,1061,1
437,1063,1
439,1063,1
1032,1089.5,1
479,1153,1
1621,1170.5,1
387,1188.4,1.5556
921,1195,1
1349.8,1256.4,1.4286
1163,1309,1
1165,1309,1
1161,1310,1
644,1395,1
644,1397,1
950,1410.5,1
1207,1500,1.5
1697.9,1542,1.8571
944,1584,1
437,1665.5,1
1617,1696,1
1619,1696,1
1301.5,1766.8,1.1667
1325,1823,1
1325,1825,1
369,1827,1
1471,1865,1
655,1973,1
403,2074,1
1540,2166,1
1289.3,2244.3,1
