"col","row","z"
349,385,0
636,443,0
464,446,0
464,448,0
630.5,466.75,0
547.67,468.89,0
672,473,0
561.44,485.75,0.375
643,489,0
433,489.5,0
703,505,0
543.44,511.78,1
657.5,511,0.3333
471.5,512,0.5
804,514,0
463,519.22,0.1111
327.5,523,0
830,525,0
573.31,529.46,0.6154
734,530,0
554,531.25,0
302,532,0
625,534,0
728.8,535.4,0
737.86,540.07,1
636,544,0
829,545,0
662,548,0
703,549,0
652.4,551.4,0.8
726.14,554.14,0.4286
918,555,0
920,555.33,0.6667
570.4,556,1.6
1041,558,0
545.33,558,0.6667
694,559,0
431,561,0
690,561,0
692,561,0.5
694,561,0
882,561,0
884,561,0
920,561,0
513,562,0
748,562,0
313,564.5,0
681.88,569.58,0.5455
745,568.67,0.3333
897.9,569.3,0.8
692.5,571,0
840.17,572.83,0.1667
352,572.5,0
900.33,572.33,0
947,572,0
390,573,0
900,578.8,0
1024.5,578,0
988,579,0
1025,580,0
664,584,0
1046,587,0
880.75,588.5,0.75
1024.7,589.58,0.5
263,589.5,0
839,589.5,0
851,590,0
907,594,0
367.5,595,0.5
367,597,0
1001,601,0
771,604.12,0.875
949,603,0
972,606,0.5
941,608,0
1092.2,611.46,0.5385
716,612,0
716,614,0
718,614,0
1094,618,0
408,620,0
931,620,0
1113,620.5,0
774,621,0
833,621,0
768.25,621.75,0.75
1058.5,622.5,0
571,623.5,0
935,624,0
553,626,0.5
684,627,0
686,627,0
654.5,628.5,0
289,632,0
370,632,0
700,632,0
564.91,635.36,0.3636
1097,634.75,0
708.88,638.12,1.25
778.75,638.25,1.25
950,640,0
587.33,641,0.8333
771.17,642.38,1.4167
909,641,0
913.17,641.33,0.3333
590,644,0
298,645,0
484,649,0
254.17,649.83,0.6667
1119,650,0
1121,650,1
486,656,0.5
1366.2,657.8,0.6
642,658.5,0.5
1308.5,659.5,0
1048,660,0.5
684,662,0
957,663,0
959,663,0.5
1018,663.25,1.25
474,665,0
1126.9,665.9,0.7
608,667,0
806.33,667.33,0
378,668,0
1017,669,0
546,670.33,0.3333
748.75,672.38,0.5
454.67,673.67,0
858,673.67,0.3333
735,673.72,1.3889
1330,675,0
621.54,676.85,1.8462
852.33,676.33,0
744.06,677.18,0.8235
477,678,0
854,678,0
316,679,0
964.67,679,0.3333
1217,680.91,1.6364
1140,682,0.3333
1449,684.5,0
841,685,0
1020,686,0
837,687,0
1216,686,0.6667
1451,687,0
548.41,690.65,1.2353
619,689.5,0.5
1173,689,0
1230.6,688.78,0.7778
1368.6,688.67,0.7778
519.5,690.5,0.7
233,692.8,0
259,692,0
1255.9,692.29,1.4286
1555,693,0
843,694,0
1452.5,694,0
973,696,0.5
829,697,0
1458,697.5,0
506,699.35,1
617,698,0
1385,699.5,0
1228,701,0
506.5,703.5,0
536.29,704.07,1.4286
591,704,0
1131.7,705.1,0.2
758,705,0
1057.5,708.5,0
1447,709,0
503,709,0.5
1395.5,710,0
1041,711,0.3333
361,713,0
1256.1,713.56,0.6667
1272.3,713.67,0.5
321,716,0
804,716,0.5
1212,716.43,0
1446.5,716,0
478,718,0.5
1446.5,718,0
561.43,719.57,0.5714
785,719.5,0
478,720,0.5
524,720,0
976,721,0
1262.1,722.5,0.7857
1351.6,722,0
444.67,723,0.6667
1573,723,0
1566.2,724.5,0.7
546,728,0
622.14,729.1,1.4286
1249.5,730,0.5
793.31,730.08,1.8462
1444.2,732.25,0.5
1194,735.33,0.6667
304,735.25,1.25
1611,737,0
1611,739,0
592.67,740,0.6667
981,740,0
1198.5,739.5,0.5
1462,741.86,0.8571
1158.1,742.25,1
1460,742,0
584,743,0
411.67,744.67,0
279,745,0
1607.2,746,0.4
1214.6,745.47,1.4706
823.33,747.33,0
852,747,0
744,749,0
353,750.25,0.25
580,750.33,0.3333
376,753,0
378,753,0.5
1577.5,753,0
1649.1,754.9,0
1212.4,754.64,1.5714
1461,756,0
332,757,0
1207,758,0
500,759.67,0.3333
841.9,761.95,1.4
566,761.5,0
1468,761.8,0.6
568,762,0
570,762,0.5
1120.5,762,0
1621,762,0
527,764,0.5
584,764,0
1120.5,764,0
317,765,0.5
410.25,766,0
311.5,766,0
1340.8,767.5,0
596,768,0
547,769,0
1577,771,0
548,771,0
1575,771.5,0
417,773,0
757,773,0.5
1677,774,0.4
381,774,0
826,775,0
757,775,0.5
1153,775,1.4
1659,775,0
707,777,0
753,777,0
1120.6,777,0.8
1161.8,777,0.4
571.5,778,0
627,778,0
1013,777.6,0.8
1126,779,0
571.67,780,0.6667
1142,780,0.5
1295.9,780.67,1.2222
980,782,0.5
1113.2,783,0
438.27,783.55,1.0909
1117.3,783.33,0
1268.1,784.36,0.1818
456.5,784.25,0.5
1336,786.18,1
1467,786,0.25
1584,785,0
1648,786,0
767,788,0
426,790,0
587.88,790.88,0
1011,790,0
1016,790,0.5
330.33,791.83,0.6667
345,792.14,0.4286
1159.4,792.38,0.75
1712.3,791.67,0
249,792,0
810,792,0
1136,792,0
1824,792,0
598.2,794.93,1.2
931,794,0
783,795,0
260,796,0
325.2,797.4,0
447,796,0
799,796.5,0.375
1008.4,796.8,0.8
1032,796,0
423.75,797.75,0
1700,797,0
1704.5,797,0
1032,798,0
1264,798,0
1604,798,0
1682,798,0
917.29,799.29,1.2857
237.8,800.4,0.2
715,800,0
1349,800,0.5
389.33,801,0.6667
455.5,801.5,0.75
870,801,0
1491.8,801.25,0.75
692.75,803.5,0.25
332,805,0
761,804.5,0
1299.8,803.33,0.8889
535.33,805,0.6667
1279.3,805.4,0.8
810,807,0
812,807,0.5
1126,807,0
483,809,0
491.57,809,1
800,809,0.5
1281.8,809.75,0.25
1277.8,811.11,0.3333
779.5,811,0
798,811,0
924.8,811.4,1.2
1978,811,0
256,812,0
1919,812,0
788.5,814,0
263,816,0
957,816,0
296,817,0
550.53,817.07,1.5333
712.33,818,0.3333
773,820.5,0
986,820,0.5
788,823.08,0.9167
990,823.5,0
758.75,824.25,1
909.67,824.67,0.3333
912,825,1
772,825,0
914,825,0
1513.2,825,1.6
673,826,0
1608,827,0
817,829,0
1136,829,0.5
268,830,0
865.5,830,0
233,831,0
1093.2,833.4,0
1692.9,835.39,1.3889
516,834.5,0.5
712,833.6,0.6
1065.4,834,0.5714
333,835.5,0
1074.8,836.1,0.5238
1098.8,835.8,0.2
1631,835.5,0
1104,837,0
481,838,0
579.08,838.23,1.1538
639,839,0.5
402,839,0
1064.2,840.54,0.4615
1096,839,0
378.5,840.17,0.8333
1093,839.67,0.6667
341,842,0
445.75,843,0
758,842,0
1071,841.5,1.2857
1611,843.4,1.2
1105.6,845.65,0.6522
685,845.33,0.3333
1659,845,0
250,846,0
966.67,846,0.6667
1863,846,0
1865,846,0
880,847.5,0
363,848,0
866,848,0
1088,848,0
1090,848,0
903.2,850.1,0
1296,849,0
1365,849,0.5
1026,851,0
1365,851,0
854,852.8,0
908,852.5,0
1647.5,852.5,0.5
1300,853,0
1655.7,854.67,0.6667
638,856.33,0.4444
1864,855,0
839.2,856.4,0.4
870.33,856.33,0.3333
1426,856,0.5
2139.5,856,0
1864,857.5,0.5
706,858,0
724,858,0.5
829,858,0
1234.3,858.33,0.6667
1583,858,0
1065,858.5,0.5
1768,859,0
490,860,0
653.17,861,0.6667
1387.5,861.5,0.5
1875,861.5,0
1877,861,0
439.57,863,0.8571
608,862.71,0.8571
1766,862,0
1867,862,0
1869,862,0
652.5,863,0.25
1799,863,0
933,864,0
1253,864,0
1680,864.5,0
1648,865,0
1682.3,865.67,1.1667
904.5,866,0.5
921,866,0
996,866,0
1285,867.25,0.25
1587,868,0
1688,868,0
409,870.4,1.2
429,871.33,0
585,870,0
1546,870,0
2129.3,870,0.6667
2159.7,872.43,0.2857
542.67,872,0.6667
470.5,873,0.5
1235.5,873,0
652.33,873.33,0.6667
686,874,0
1121.6,873.86,0.5714
714,876,0
1012.5,876,0
1229,876,0
298.92,877.17,1.4167
1322,878.75,0.25
1414,878,0.5
562,879,0
698.55,880.64,1.2727
1141,881,0
1478.1,880.57,0.7143
727,882.33,0.3333
1419.8,884.17,0
1684,883.5,0
1370,884,0.8333
2039.1,883.86,1.5
1637,887,0.5
2176,888,0
293,890,0.5
507,888.5,0.8333
1246.8,889.78,0.6667
1415.6,890.69,0.5625
1500,889,0
471.8,889.6,0.5
480,890.67,0.6667
998,891,0.5
1103,891,1
1945,891,0
1010,892.5,0
1002,893,0
1827,893,0
2023,893,0
1047.2,893.8,0.6
1268,895,0.5
1423.6,896.71,0.8571
1599.1,897.73,1
707,897,0.5
1580,897,0
1911.4,898.27,0.7273
625.2,897.4,1
1266,898.67,0.3333
2276,898,0
660.46,899.69,2.1538
1878.2,898.82,0.8182
906,901,0
1857,901,0
2052,901,0
1444,902,0
2075.5,902,0
515,905,0
1350.7,905.53,0.4667
1409,905,0
1120.8,905.75,0.75
1411.3,906,0.3333
479,908,0
1287.5,907.27,1.7273
2080.5,907.5,0.5
473,909,0
1527.7,910,0.4545
572.38,909.75,1.125
950.25,910.75,0.25
1824.7,910,0.3333
2162,910,0
2113,911,0
2162,912,0
702,914,1.5
2162.5,914,0
2367,914,0
651,915,0
1511.8,915,1.6
638,916,0
1849,917.62,0.8462
1372,917.6,0
1511.8,917.33,0.6667
282,918,0
2133.5,918.5,0
2340,918,0
398,919,0
2043,919,0
2045,919,0
720,920,0
1441,920.57,0.1429
1634,919.75,1.25
720,922,0
1550,923.93,1.3571
1097,924,0
1916,924.5,0
471,925,0
2290,926,0
1018,927,0
2170,927.12,0.625
430,930,0
483,930,0.5
1529.9,930.13,0.913
1295,931,0
2351,931,0
2363.4,932.14,0.2857
791,932,0
2025,932,0.5
1786,933,0
1334,935.56,0.4444
1911.8,934.6,1.2
2151.5,934.5,0
1015.4,935.93,0.2857
1423.8,935.5,0.3333
420,936.5,0.5
435.5,936,0
2365,936,0
1595.8,938.25,0
2302,939.88,1.125
1605.5,939,0
2102,939,0
2277.4,939.6,0.4
1513,940,0.5
438.43,942.14,1.1429
567.5,941,0.5
1601.8,941.25,1.25
843.6,943,0.2
1469,942.18,1.9412
433.5,943.75,0.25
787,946,0.5
2269,946,0
2271,946,0
761,947,0
1501,947,0
512,948.5,0
821,949.67,0.6667
1173.2,950,0.4
709,951,0
887,951.5,0
2082.5,951,0
396.17,951.58,1.25
1023.8,951.83,1.1667
1173,952,0
1592,952,0
967.25,952.5,0.75
973,953,0
997,954,0
1500.4,954.4,0.6
330,958,0
561,958,0.5
872,958,0.5
1221,958.17,1
1381.6,959.71,0.4286
2147,959,0
717.25,960.88,0.375
720,960,0.5
1008,961.33,0.3333
1010,961.5,0
1911,961,0
713,962.5,0
527.6,963.6,1
1175,965,0.5
2089,965,0
2428,966,0
2089,967,0
2091,967,0
2157,967,0
1594,968,0.5
1596,968,0
1824,970,0.6667
1945,970,0
402,971.5,0
1094,971.5,0
1340,972,0
1864,972,0
644.89,972.89,0.6667
965,974,0
1110,974,0.5
680.6,975.6,0.2
1491.7,976.33,0.3333
1034,977,0
2185,977,0
2465,977,0
1218.1,978.9,1.2381
849,979,0
663,982,0.5
2014.7,982.33,0.3333
566,983,0
1138.9,984.5,0.875
1950.9,984.3,0.7
695.25,985.25,0
1870,984,0.5
1209.5,984.6,1.2
1220,985,0
2169,985,0
199.5,985.75,0.75
1086,986,0
1615,986,0
1220,987,0
2597,987,0
558.36,988.27,1.4545
1138,988,0
1140,988,0
2263,988,0
2103,989,0
2198,989,0
1096.8,991,1
1564,990,0
2000,990,0
1657.2,991.75,0.75
1808,993,0.625
2111.3,991.73,0.6364
1372.1,993.33,0.1111
1976.6,994.38,1.375
2117,992,0
2469,993,0
2393,995,0
2247,997,0
1811.1,997.59,1.2941
2027.8,999,1.0667
1919.5,1000,0
2197,1000,0
1110,1001,0
1373.7,1001.7,0.6667
573.5,1003,0
1637.2,1004.7,0.2727
2400,1008,0.9
1062,1006,0
1105,1006,0
1205,1006.2,0.5556
2205.7,1007.9,0.7778
1102.5,1007,0
1062,1008,0
1714.5,1008,0
2367,1008,0
373,1009.3,0.3333
1904,1009,0
596.5,1010,0
1588,1010,0
1848,1011,0
2049,1011,0
1589.8,1011.2,1
1601,1012,0.5
2265.5,1012,0
835,1014.7,0.4
1807,1013,0
2503.5,1013,0
1351,1014,0
1805,1014,0
1858,1014,0
2002,1014,0
2266,1014,0.5
628,1015,0
630,1015,0.5
1709.3,1015.7,1.3333
532.75,1016.5,0.5
1246.5,1016,0
1643,1016,0.5
1567,1017.5,0
1843.2,1017.4,0
2130.8,1018.6,0
2139,1018,0
344,1019,0
1325,1019,0.5
2185.5,1020.5,0
2431,1020.5,0
2433,1020,0.75
344,1021,0
1728.2,1021.2,1
1559.6,1023.9,1.8462
1930.7,1024.7,0
406,1024.2,1.2
344,1026,0
1487.1,1026,0.8
2359,1027,0
343,1028,0
427.88,1029.1,0
634.5,1028.5,0
2571,1029,0.5
416,1029,0
1077,1029,0
1709,1029,0
1077,1031,0
1569.3,1031,0.3333
1721,1031,0
2194,1031,0
834,1034,0
1689.8,1034.4,0.5
1136,1036,0
836.33,1038,0.6667
1260,1037.7,0.6667
2135,1038,0
1824,1040,0.5
2253.8,1042,0.3333
380,1042,0
383.5,1044.2,1.5
882.5,1043,0
2109.3,1043,0.6667
2161.3,1043.3,0
611.33,1044,0.8333
1847.3,1044.5,0.3333
843.33,1045,0.3333
1140.5,1045,0
1236,1045,0
1607,1046,0
1733.5,1045.5,0.75
1829,1046,0
2032,1046,0
2219.2,1046.6,0.2
649.5,1047.5,0.5
1141,1047,0
2141,1047,0
2257,1047,0
847,1048,0
1141.9,1047.3,2.2
1855,1050,0
2311,1049.3,0
666,1051,0
1911.7,1051,0.6667
1802,1052,0.5
2379,1052,0
379.44,1053.9,0.7778
1109,1053,0
1175.8,1053,1.3333
2292.5,1053,0
1798,1054,0
2829.5,1054,0
1268.6,1055.6,0.4286
628,1056,0
2871,1057.6,0.4286
812,1058,0
1201.8,1058.1,1
1920.2,1058,0.25
2281.4,1059.4,0
2297,1058,0
965,1060,0.5
1251.3,1060,0.6667
2842,1060.5,0
1334,1062,0
1522,1062,0
500,1063.3,0.3333
629.67,1063.2,0.9167
799.33,1063,0.3333
1214.3,1064.8,0.8182
2276,1063,0
2302,1063,0
1139.4,1065.7,0.6667
681.5,1066.5,0
