"col","row","z"
601,317,0
776,323,0.5
717,333,0
661.67,347,0
805,346,0
776,352,0
699,358,0
759,366,0
660,369.25,0
726,373,0
746,373,0
654,379.5,0
922.75,384.75,0
925,392,0
880,393,0
827,395,0
857.5,400,0
863,404.5,0
715.2,410.6,0.8
749,412,0
788.1,413.6,0.7
713.57,415.71,0.7143
786.83,417.17,0
867,420,0
826,425,0
837.5,429,0
836,431,0
889.17,438.33,0.5
966.89,439.33,0.4444
984.83,439.67,0.3333
832.6,442,0.6
809,444,0.5
819.8,445.8,0.6
630,447,0
973,447.83,0.8333
833.33,453.33,0.5
838,450,0.5
827.64,453.64,0.2727
852,453.67,0.3333
872,453,0
903.5,455,0.6667
720,455,0
722,455,0
899.7,457.47,1.3333
1035,459,0
939,460,0
714.5,463,0
627.5,468,0
555,469.5,0
902,470.33,0
980,469,0.5
980,471,0
557.48,475.65,1.3478
863.5,476,0
626.5,477,0
598,480,0
706.5,480,0
626,482,0
901,482,0
860.36,486.09,0.9091
1070.5,484,0
756.75,486.25,0.5
813.71,487.14,0.2857
947.83,487.67,0.3333
980,487,0
1000.8,489,0.1667
640.5,489,0
704,491,0
901,493,0
626,494.5,0
647,495.5,0
916,495,0
744,498,0
715.67,500.33,0
891.15,501.23,1.3077
733,501,0
936.08,503.28,0.8
590,504,0
911.5,505.75,0.5
942,506,0
721,507.5,0
522,508,0
524,508,0
679,508,0
929.5,509,0.5
1050,509,0
938.33,511.33,0
431,518.5,0
723,518.5,0
897,519.25,0
1148,519,0
666.38,524.62,1.0625
933.54,520.31,0.8462
655.33,521.67,0
706.67,521.33,0
1027,532,0.75
1027,537.5,0.25
678.86,540.29,0.5714
1052,540.5,0
974.5,542,0.5
1060.5,542,0
665,544,0
1132.7,544.57,0.5714
422,546,0
921.45,545.95,1.0909
954.12,549.83,0.4583
1102,548,0.3333
734,552.6,0.6
635.4,555,0.6
958.5,557.2,0
1076.4,556.4,0.8
1096,561,0
1211.2,562.25,0.5
416,563,0
422.5,563,0
691.5,563.5,0
1217,564,0
615.79,567.07,0.5
724.5,565.5,0
732.48,568.05,0.9048
977,568.25,0.25
694.5,569,0
953,571,0
788,578,0
612,579,0
1124.8,580,0.75
667.5,581,0
655.5,582,0
444,583,0
662,583.31,1.1154
536,585,0
735.38,587.12,1
373,588,0
730.14,587.57,0.8571
796.31,588.77,0.5385
1195.1,588.45,0.4545
490,589.4,1
594.5,590,0
1189.4,592,0.5
975.14,592.14,0.5714
945.5,592,0
495,594.5,0
534.19,596.57,0.0952
976.5,597.12,0
1191,596.33,0.3333
501,597.25,0
818.6,597.8,0.8
856.8,597.4,0
1184,599,0
461,600.67,0.1667
623.89,602.22,0
1056,600,0.5
597,601,0
794.4,601.57,1.4
855.4,602.4,0.6
443.33,603.33,0
932,602.25,0.75
934,602.5,0.5
1148,604.5,0
976,606,0.5
951.67,608,0.6667
586,615,0
860,616,0
669.2,619.1,0
941.11,620.82,0.7143
463,618,0.6667
727.12,619,0
1257.5,619,0
882.8,623.6,0
1192,622,0
377,625.5,0.875
662,624.5,0
885,624,0
1127,625,0
573.59,628.29,1.4706
367.67,631.67,0.5556
1159,631,0
962.07,634.8,0.1333
580,634.5,0
431.18,636.45,0.9091
486,637,0
688,637,0
489.75,638,0.75
911,641,1
1240,641,0
843.17,643.83,0
1241,644.71,0
888,644.5,0.5
670.5,645.75,0.75
717.24,647.44,1.2647
879.7,646.5,0.6
913.33,648.33,0
675.33,649.67,0.6667
894.57,649.43,0.5714
1257,650,0
391,653,0
393,653,0
1177,653,0
681,656,0.6667
504.75,655.94,1.875
1132.1,658.3,0.4
642,658,0
898.87,664.63,1.5397
583.44,664.33,0.7778
801,664,0
1140.6,664.86,0.5714
845.67,665,0.3333
941.91,668.27,0
1213.3,666.67,0
636,667,0
905,665.94,1.7778
1191,668,0.5
1233,669,0
475,671,0
633.33,671.5,1
834.67,670.67,0.6667
844.23,672.38,0.3846
463.86,673.57,0.7143
735,675,0
425,675,0
583.12,676.5,0.375
1249,676,0.5
465.33,678,0.5
804.29,679.93,1.7857
950.33,677.67,0
351,679,0
627.5,679,0
1212.2,680.17,0
1168,680,0.75
630.33,681.67,0
952.5,681,0.5
1029.2,682.38,0.25
635,683,0
718,683,0
909,683.43,0.5714
932,685.5,0
980,686.5,0
1134.5,687,0
1220,688,0
615.62,689.77,0.3846
