"col","row","z"
423,28,0
421.18,30.545,1.0909
462,35,0
464,35,0
462,37,0
464,37.571,1.4286
591,48,0
623,63,0
623,65,0
380,66.5,0
466.33,69.333,0
575.52,77.815,0.3333
825,78,0
547.17,78.533,1.8667
764.56,82.111,2.0278
869,83,0
834.94,82.647,1.2353
869,85,0
871,85,0
815,88.5,0
380,90.875,0.125
802,92.6,0.85
362,92.4,0
852,92.86,2.6
374,93,0.5
991,97.7,0.1
835,99.8,0.4
837,99.5,0.5
1018.3,102.33,0.6667
957,104,0
687.14,106,0
653,106,0
959,106,0
682,108,0
957.5,108,0.5
975.75,108.25,1.5
686,112,0
1076,114,0
851.33,120,0.6667
1171,120,0
1085.3,124,0
1172,123,0
1172,125,0.5
938,127,1
383,128,0
542,129,0.5
934.43,129,1.5714
1143,132.67,0.3333
927,133,0
1202.6,136.79,0.8333
690,135,0
1073.8,134.83,0.5
1030.3,135.96,1.4583
723,137,0
1183.5,137,0
737.75,138,1
1173,138,0
723,139.33,0.3333
878,140.5,0.5
880,140.5,0
921,141,0
1157,143,1
521.43,150.71,0.8571
1027.5,151.33,0.6667
1098.2,158.4,0
1452.5,157.61,2.0645
1060,163,0.5
397.5,163.17,0.8333
1288,164.25,0
391,164,0
1337.8,164.95,0.85
519.92,166.08,0.5385
678.75,165.5,0.25
1314.5,166.2,1
381,167,0
1036.2,168,0
379,168.2,0.4
522.5,170,0
443,172,0
1092,171.5,1
1604,174.5,0
1167.2,175.29,1.2941
434.57,176.43,1.5714
719.75,177.75,0.25
1283.5,179,0.5
405,180,0
662,180,0
1442,180,0
1601,182,0
1570.2,186.25,1.5
1604.2,183.77,1.4231
1393,183,0
682,185,0
1522.5,191.13,0.6
1078.1,193.68,0.72
1060,193,0
1033.5,194.5,0
1261,194.71,2.1935
1264,199.38,0.875
760.5,200.5,0
768.67,202.83,1.9444
1029.5,203,0
1618,210,0
417,211,0
517.5,211,0.5
1581.7,211.21,0.7143
432,215,0
760.5,215.5,0
1009,214.5,0.5
1383.1,216.71,0.7143
735.25,218.42,1.25
874.88,220.38,1.125
1660.4,220.1,1
1624,223,0
376,224,0
1321.5,225,0.3333
674,227,0
752.48,229.65,0.2609
791,227,0
674.67,229,0.3333
768.8,229.6,0
1336,229,0
344,230,0.5
346,230,0
1291.6,232.6,0
1646,232,0
399,233,0.5
1350,233,0
793,235,0
1619,235,0
1646,236.5,0
1648,236.5,0.5
451.6,236.6,0.8
591.62,239.62,0.75
766.71,236.86,1
1342.3,239.8,0.6
1085,239,0
767,240,0
1138,240,0.5
823,241,0.5
863,242,0.5
1021.9,243.5,1.25
863,244.33,0.6667
1433.5,245,0
399,246.2,0.6
1312.7,246.67,0
974,249.5,0
976,249.5,0
1026,250,1
647,251,0
1580.5,253,0
599.6,254.2,1
1107,254,0
997.57,254.43,1
1581,255,0
825,256,0.5
1107.6,255.62,1.125
1099,257,0
685,257.67,0.6667
577.5,261.5,0
1465,261.5,0
342.29,262.71,0.5714
469,262,0
679.36,262.43,1.1786
729.3,264.9,0
869.29,262.86,1.4286
1648,265,0
541.42,267.83,1.0833
976,267,0
978,267,0
757.2,268,0.4
925,268,0
1438.1,268.12,0.625
1302,270,0
739.67,271,0.6667
1647.9,271.22,1
341.5,274,0
600.07,273.19,1.1111
1023,275,0
1438,277,0
668.3,279.9,0.1
848.5,279,0
481.91,278.82,0.9091
883,280.33,0.6667
398.6,280.8,1.1
1440,281,0
393,282,0
979,284.2,0.6
371,285,0
1104.5,285.5,0
1532.4,285,1
1020,287,0
1452.5,287.5,0
602.71,289,0
1436.7,290.56,0
1241.7,292.67,0
1455.2,291.75,1.25
1614.8,293,0.6
881.58,292.88,2.3462
1443,294,0
1289,295,0
888.5,296,0
1560,297,1
635,299.5,1
974.43,301.43,0.4286
1474.6,303.44,0.6667
458,304,0
597.67,303.83,0.3333
604.5,302.5,0.8333
1228.7,304,0.7143
1513,305,0
381,306,0.5
442.62,306.88,0.125
1649,306,0
714,307,0
1659.4,307,0.6
1663.7,306,1.1667
1543.9,308.86,0.7143
1076.8,310.25,1.7188
629.75,311.5,0.75
348,315,0
850,315,0.5
1425.6,314,0.7778
426,316,0
348,317,0
350,317,0
531,317,0
635.17,319.42,1.0833
1320.6,319.76,1.0588
1491.3,320.44,1.3333
1466.6,322.2,0
629.5,323.17,0.1667
1493,322,0
823.88,325.71,0.5882
590.7,328.1,1.05
1593,328,0
1059,332,0.5
994.8,332.6,0.8
1466.7,332.71,1
1137,334,0
1442,334,0
1616.3,333.05,1.9459
1477.5,338.5,0.8333
955,341,0
1061,341,0
1114.7,340,0.6667
1470,342,0
868,344.2,0.6
1522.5,346,0.5
1322,347,0
1008,348,0
1316.3,348.06,1.8824
386,351,0.5
1018,351,0
1118,352,0
386,353,0
1134,353,0
1323.2,353.83,0
842.5,352.83,1.25
1118,354,0
1134,356,0.3333
692.9,355.9,0.7
1018,356.5,0.5
1118,356,0
1420,356.5,0
384.75,358.5,0.25
480.95,357.32,1.7368
1130,357,0
1292,357,0.5
1322.2,359.72,1.2222
387,360,0
504,360,0
1391.2,360,0.3333
1424,361,0.5
1270.1,362.57,0.4286
1571,362,0
1007.5,362.5,0.5
1486.9,364.06,0.4375
402.5,364.5,0
1196,364,0
1643,364,0
422.5,365,0
1008,365,0
1271.8,365,1
1569,366.67,0.5556
708.18,368.91,0.5455
987,367,0.5
1194,368.5,0
1388,368,0.8571
1558,368,0
400.31,370,0.4615
1585,370,0
1634.5,370,0
705,372,0
1044.4,372.62,0.619
1264.5,373,1.4444
353.43,374.8,2.6857
389,374,0
1510,374.75,0.75
1124,375,0
1623,375,0
679.12,375.5,0.625
1480.7,377.11,0
1130.6,378.17,2.1111
1264,378,0
956,379,1
1259.6,379.8,0.4
1597.9,379.33,0.9333
1392.7,381.21,1.7857
802,383,0
804,383,0
1066.5,384,0
1253.4,386.57,0
397,386,0
463,387,0
465,387,0
880.8,388.4,0
1414.7,387,0.3333
850.5,390,0
687,390.8,0.8
1147,392,0.5
1342,394.5,0
1617,395,0
923.6,394.4,0.8
1170,397.5,0
360,398,0
1481,402,0
1051.5,402.49,1.9429
411,405.33,0.5
415,405,0
1223,404.5,0
1575.6,403.27,1.6364
1544,407.38,0.619
394,406,0
1425,408.5,0
1011,409,0.5
1326.5,409.25,0.75
347,411,0
470,412.5,0
1003.2,414.25,0
374.5,415.5,0
766.46,414.17,1.875
383,415,0
443,417,0
987,416,0
1412,417.29,0
943.85,414.65,2.1
1534,418,0
1546.6,420.3,0
1004,419,0
1542.4,419.5,1.7857
763,422,0
1117.9,421.79,0.8947
1193,422,0.5
1485,422,0
530.75,423.75,1
1038.5,424,0
1042.5,424,0
1385,425.5,0
1491.4,430.23,1.129
490,431.5,0
642,430,0.5
1213.5,431,0
1504,431.5,0.5
394.5,432,0
1452.2,434.06,1.75
1102.7,433.67,0.8889
1237,437.5,0
1239,437.5,0
1007.2,438.67,0.8889
1100,438,0
1102,438,0
782,439,0
707,444,0
709,444,0
1368,444,0
1370,444,0
510,449,0
944,449,0
1482,450.5,0
1229.2,451.33,0.8333
319,452,0
1636,453,0.5
1636,455,0
1202.5,456,0
780,458,0.5
1217,459,0
349,460.33,0.3333
1262.3,461.73,0
1436,463,0.5
467.56,467,0.4444
558.12,467.88,0.875
764,466,0
1350.5,467,0.5
1171.6,468.58,0.3333
1564,470,0
764,471,0
982,471,0
1512.8,470.11,1.2222
537,472,0
1496.5,474.12,1.7059
1512,473,0
1097.5,474,0
808,477,0
944,477,0.5
1129.5,478.12,0.875
773,478.5,0
1567,478,0
622,480,0.5
1567,480,0
431,482,0
433,482,0
1269,483.67,0.3333
348.18,484.3,2
349,488,0.5
614,489,0
616,489,0
1208,488.71,1.4286
742,491,0
766,492,0
850.27,491.4,0.6667
738,493,0.5
740,493,0
989.5,494.5,0
1559.2,494,1.25
1028,498,0
1046,498,0
790,500,0
792,500,0
1017,501.25,0
311.33,503.47,1.1333
781,505,0
783,505,0
1633,506,0
619,508,0
1120,509,0
1485.5,508,0
1456.6,510.2,0.4
1506,510,0
1316.7,511.83,0.6667
934,513,0
861,517.4,0
1059,516,0
1061,516.5,0.5
611,517,0
801,517,0
323.5,519,0
906,519,0
528,526.5,0
590.71,526.43,0.5714
1100,527,0.5
1482.9,529.67,0.7778
634,529,0.5
1424,531.86,0.5714
834.33,533.5,0.1667
825,533.67,0.6667
1363,535,0.5
1363,537,0.5
1571,539,0
815,540,0
1303.4,540.83,0.75
1320.2,542.38,1.5
515,543,0
565,543.5,0.5
328.7,544.2,1.6
1260.9,544.56,0.6667
1300,545.5,0
658,545.8,0.8
1172,551,0
1170.5,555.41,2
1574.2,551.75,0.75
351.75,554.5,0.75
1124,554,0.5
421.2,556.4,0.2
599.16,554.5,2.0263
746,556,0
1405,556,0.5
426,557.5,0
511,559,0
642,559,0
1606.9,559.92,0.3077
509,561,0
1174.5,562.1,1.1
1256,564,0
398.57,564.71,0.7143
396,566,0
1368.4,571.14,0
371,571,0
574.22,571.56,0.6667
1502,574,0
349.67,575.33,0
419,576,0
1368.7,576,1.1429
421,577,0
899,578,0.5556
918,577,0
1605.5,578,0
1044,580,0
850,581,0.5
749,582.2,1.2
850,583,0
388,584,0
1039,584,0
670.11,591.89,0.5556
823,592,0
1253.7,593.67,0
1370,594.2,0.6
1625,594.5,0
1381.5,595.5,0
1185,598,0
1501.3,599.86,0
1279,601,0.5
1519.4,602,0
505,606,0
1007.5,607.5,0.5
332,613,0
893,614,0
984.5,613.8,0.8
1173,614.2,0.6
1183.5,613.67,1.5
1362,616,0
1362,618,0
369,619.5,0
959,622,0
1429.2,624.3,2.9
474,628.5,0
476,628.5,0
789,629,0
478,630.5,0
1278,631,0.5
842.5,632,0
842,634,0
968,639,0
713.75,642.07,1.5714
1429.5,645.5,0
1603,646,0
670,647,0
714,648,0.3333
1603,648,0
1474.5,649.5,0.5
470.44,652.38,0.375
1627,651,0
855,655,0
1277.1,661.3,0.9
464,665,0
528,666,0
1407.7,667,0.3333
1464,666,0.5
1601,674,0
1196,676.5,0
1198,676,0
923,684,0
1212,691,0
940,692,0
942,692,0.5
1036,693,0
1584.4,694.21,1
363,694,0
940,694,0
1141,696,0
404,697,0
468,698,0
1032,700.5,0
295,701,0
543,702.2,0.4
564.6,702,0.8
295,703,0
511,706,0
511,708,0
1187.9,709.22,0.8889
1192,710,1
660,711,0
913.56,710.22,1.6111
543,712.6,0
1192,712,0.5
449.83,713,0.6667
1023,714,0
1182,714,0
979,718,0
1237,718,0
1151,720,0
1273,721,0
846,723,0
964,723,0
819.5,725,0
1023.7,725,0.8333
1155,728,0
1143,729,0
1188,730.5,0
1143,731,0
1003,731.67,0.6667
974,735,0
415.92,737.08,1.5
650.8,737.8,0.6
1095,737,0
525,738,0
1311.4,740,0
1220,740.5,0
360.67,744.2,1.4
1295,743,0
1567,741.87,1.6667
1195,750,0
1197,751.5,1
671,754.5,0
673,754.5,0
575,755,0
682.83,753.83,1.3333
1026,755,0
1589,755,0
897.62,756.62,0.25
892,760,0
1587,761,0
877.5,763,0
741.57,763.14,1.5
1156,764,0.5
855,765.5,0
877.5,765,0
806.6,769,1.2
806.5,771,0
469.11,774.44,0.4444
510,775,0
512.25,775,1
1212,775.5,0
1166,779.5,0
920.95,780.86,1.2273
1262,783,0
1346.3,785.83,0.6667
837.5,786,0
428,786,0.5
1320.6,786.55,2.3548
1169,790.8,0.6
1171,790.5,0.5
488,794,0
1188,795,0
1542,796,0
1544,796,0
685,797,0
1228.5,801,0
1324,801.5,0
1403.2,802,0.8
892,803.25,1.125
1099.6,802.6,0.6
1228.2,803.38,0.5
762.67,804.33,0
1235.4,805.8,0
1233,809.19,0.625
761,809.2,0.4
1199,809,0.5
1465,810,0
970,814,0
567,815,0
874,816,0
996,817.67,0.3333
1074,818.5,0
571,820,0
704,822,0
706,821.5,0
958.33,821.33,0.3333
1049,821,0.5
653,822,0
1466.7,823.67,0
1158,824,0
1455,828.5,0
1245,833.5,0
408.6,835.2,1.2
949.25,843.25,0.75
287,850.22,0.7778
1328,855,0
690,856,0
1328,857,0
688,860,0
985,861,0
856.67,863.33,0
879,864.18,0.3636
1312,865,0
918,867,0
751.7,869.6,0
701,873,0
1493,873,0
1398,874.5,0
978,875,0
1415,875,0
1359,879,0
1357.9,880.3,2.3333
683,882,0
1461,884,0
654.75,890,0.75
632,893,0
1366,893,0
654,894,0
533,895,0
1479,895.5,0
540,897,0
542,897,0
1466,899.5,0
1487,903,0
746.33,903.67,1
1487,905,0
608,912,0.5
1092,916,0
1462.6,917.8,0.6
312.29,921.67,1.5714
542,924.25,0.75
503,926,0
697.5,926.5,0
1393,926.4,0.8
487.5,927.5,0.5
1531,928.67,0.3333
426.5,930,0
1517,929.5,0.5
1078.7,931.43,1.2857
1437,933.33,0.3333
611.57,933.57,0.5714
1531,935,0
1072,937.5,0
647,945,0
909.5,946,0
859,948,0
1517,950,0
1165.9,950.42,1.8421
1602,952,0
1419,954,0
406.33,961.17,0.3333
558,961,0
1399,964,0
364.83,967.39,1.3889
536,967,0
1391.2,972.22,0.4444
860,972,0
661.5,975,0
1118.6,979.8,1.2
1435,982,0.5
1398,984,0
1173.3,985.67,1
1525.4,989,0
1368.1,991.38,1.5
1389.5,1002,0
633.7,1004.1,0.8667
1138.6,1005.9,0.4286
859,1006,0
861,1006,0
1180,1006.8,0.8696
1497,1006,0
1498,1008,0
1203.3,1009,0.3333
1056,1013,0
1445,1013.5,0
1238.3,1015,0.6667
1410,1015.7,1.1667
911,1022,0
1228.1,1022.3,0.6923
1036,1024,0.6667
912.5,1026,0
675,1026.5,0
666.67,1032,0.6667
1436,1035,0
1061,1039,0.5
1532,1039,0.5
1532,1041,0
1223,1042,0.5
846.75,1046,0.5
937.5,1046.5,0.5
312,1047,0.5
1154,1050,0
928,1051,0
937,1051,0
937.71,1054.4,0.5
731.25,1060.2,0
1459.5,1059.6,0.75
424,1062,0
752,1062.5,0
883,1063,0
908,1063,0
1179,1068,0
1383,1068,0
842.5,1069.8,0.75
1470,1072,0
846,1074,0
1383.7,1074,0.6667
1030,1076.2,0
529,1076,0
1362.1,1077.1,0
1383.5,1076,0
1438,1082,0.5
785,1085,0
1588.3,1086.1,0.2857
1107,1088,0
1438,1088,0
1323.1,1088.6,1.2
352.67,1091.2,0.8333
681,1090,0
683,1091,0
839,1091,0
1375,1091,0
1389,1097,0.8571
1520,1097.5,0
1518,1097.8,0.75
640,1101,0
798,1109,0
1520.5,1115,0
694,1119.5,0
1014.5,1119,0
696,1120,0
1058,1120,0
323.28,1124.1,2.2778
749.67,1123.3,0.6667
383,1127,0
767.67,1128.3,0.6667
1015.3,1129.1,1.2222
1021.6,1127.8,1.125
799,1128,0
909,1129,0
753,1130.5,0.5
755,1130,0
758,1134,0
1090.1,1135.9,0.8571
387,1144,0
1083,1144,0
719,1146,0
1283,1147,0
719,1148,0
525,1149,0
527,1149,0
525,1151,0
527.57,1152,0.8571
1358,1152,0
564,1153,0
952,1154,0.5
1356,1154,0
1358,1154,0
1360,1154,0
329,1156,0
439,1157.5,0
1269,1160,0.6667
1507.8,1159.2,0.6
1561.1,1160.3,0.7692
941,1161,0
941,1163,0.5
569,1165,0
569,1167,0
1196,1168,0
879,1170,0
881,1170,0
1191.4,1172.5,1
926,1174,0
1554,1174,0
908,1175,0
1017,1177,0
1522,1179,0
1028.3,1185.6,1.5625
1371.2,1186.2,0
1365.5,1187,0
550,1189,0.5
1365.5,1189,0
876,1190,0
780,1193,0
441,1198,0
731,1200,0
1481,1204,0
628,1206,0
1015,1207,0
1100.6,1208,1.4
712,1212,0.4
714,1211,0.5
527.89,1211.5,1.3889
606,1215,0
608,1215,0
1273,1215,0
1107,1219.5,0
1134,1219,0
1249.2,1221,0.6
1513,1220.3,0.3333
