DAPI1st,DAPI2nd,DAPI3rd,GABA488,GAD647,gephyrin594,GS594,MBP488,NR1594,PSD95_488,Synapsin647,VGluT1_647
81.4358739705,17.3014773173,19.5628186691,0.314289449601,42.6028238985,8.04065890966,7.27755262126,2.48163158583,4.38357955288,45.0057523859,21.1941430252,14.2995162766
106.938193533,17.7916716382,19.3297935807,2.04164180885,37.5177186493,9.61460446247,8.86588712564,2.03961341129,8.52105953943,51.2719245913,25.7260470111,8.2123851569
87.8179669031,15.0145784082,14.9259259259,0.0685579196217,25.0437352246,8.07328605201,9.40898345154,0.0,2.89913317573,2.41646966115,23.4791174153,12.682427108
101.820008834,16.8776501767,17.6269876325,5.75530035336,35.7879858657,9.19324204947,9.33370141343,1.27142226148,3.69213780919,40.0125883392,18.5649293286,18.4849823322
105.756287058,16.6047842977,16.393580045,0.00511142915559,21.8194643222,10.8593334696,5.99591085668,1.22428951135,13.0948681251,0.680637906359,23.0435493764,4.17828664895
80.9520352297,18.3702689836,22.3246845989,8.20268983575,22.7022137586,9.28683646751,8.91287788622,0.0,2.85729588193,11.3475363009,20.7201856701,7.09414425137
85.5684542587,17.6547634069,19.9541955836,8.16895899054,22.0855520505,9.0461829653,7.9723659306,2.0,2.89728706625,31.7616403785,31.4201892744,19.2601892744
113.215968777,18.5777283338,25.1340093376,5.12806390429,27.8422089291,9.73391450248,9.32747300846,2.2689305515,3.60654362416,51.4960606945,24.8854318646,16.7034578348
113.719887955,15.0466853408,16.0,3.95798319328,26.0943043884,10.8655462185,8.0,2.0,2.33800186741,28.5667600373,19.8039215686,10.8571428571
94.8560693642,15.0410404624,15.0,0.0508670520231,27.1751445087,10.3543352601,9.4063583815,0.389595375723,26.8387283237,1.6098265896,72.7086705202,7.0
102.063860493,18.2816596512,21.1719783524,1.10487071557,37.3937462417,9.2093806374,11.3878532772,2.0,3.13012627781,30.1189416717,31.7496091401,5.69284425737
142.470107734,19.2987456375,22.1341358555,5.77684487381,32.096100349,11.2463709473,9.2377472055,2.67920186131,8.09640382378,64.1935157554,39.4293915331,11.5811036366
114.891325536,16.0175438596,18.2278265107,2.59746588694,23.4385964912,8.6895711501,8.47076023392,2.0,2.52558479532,17.7363547758,17.714668616,7.78557504873
72.0648058588,17.1948321128,19.056238773,4.10543042697,28.7013956059,9.13444797568,12.6314771314,2.67762885173,8.63023352218,38.5413845516,37.5552024319,5.96255354429
93.9986259381,18.3378078427,20.6246696966,0.0351971250396,63.4663354825,19.7132438431,8.90423845259,2.14977275129,6.20843462636,53.4732057922,22.5273226932,25.1764084135
104.864351091,17.6531330674,19.1900962215,2.1426895095,24.9809903778,15.6519596339,10.4278338418,0.000234686693264,4.73644684346,20.5644214973,13.2447782211,10.5695846046
104.619110212,20.4998988878,26.2477755308,6.64630940344,29.7895854398,11.3594539939,9.64691607685,3.65166835187,4.64919110212,44.6046006067,30.0144590495,11.4535389282
93.817601532,18.8399425517,22.015239767,3.76478097822,31.2792627463,8.66783691056,9.49174180164,2.0,4.20729274715,37.153035985,30.0205058645,9.39288278944
96.5532544379,16.0,15.0,3.47781065089,25.374260355,9.57914201183,9.0,2.0,4.11094674556,22.3565088757,35.1930473373,9.5850591716
