324,661,1
378,1199,1
380,1198.5,1
390,1283,1
411,575,1
422,1179,1
497,1173,1
500.5,561.5,1.25
515.67,908.33,1
574,904,1
599.25,1049,1.75
626,567,1.5
634,932,1.5
644,1060,1
647,762,1
649,762,1
651,762,1.5
674,1464,1
684,742,1
693,637,1
727,557.2,1.6
729,557.5,1
757,1512,1.5
767,532,1
798,713,1
823,509,1
860.86,1429.7,1.4286
865,686,1.5
864.5,1430,2
879,619,1
879,1140,1
894,1525,1.5
896,900,1
914,355,1
930,1466,1
942,1033,1
947,992,1
949,992,1
964.8,805.4,1
991,970.5,1.5
1012,984.5,1
1022,1069,1
1044,1116,1
1086,948,1
1114,417,1
1114,419,1
1168,1615,1
1177,1354,1
1262,488,1
1264,488,1
1264,1271,1
1266,488,1.5
1277,1069,1
1277,1071,1
1313,913,1
1329.3,1284.5,1.9091
1365,465,1
1431,1252,1
1436,1314.3,1.6667
1443,560,1
1454,1583.5,1.5
1520,1052,1
1544,731,1
1544,733,1.5
1562,780,1
1582.7,592,1.6667
1624,1267,1
1626,1269,1
1634.5,1460,1
1635,864,1
1638,1283.5,1
1649,1015.6,1.2222
1660,967,1
1668.6,1481.8,1.8
1713.8,901.88,1.75
1714,1076,1
1744,1196.5,1
1759,942,1
1776,1433,1
1776,1435,1.5
1798,1603,1
1802,1082.7,1.6667
1819,1583,1
1834,1191,1.5
1856,856,1
1884,803,1
1944.8,888.17,1
2022,1084.5,1
2047.5,1027,1
2062,1072,1.5
2093.6,1459,1
2094,1514,1
2149,1121,1
2151,1121,1
2177,961,1
2183,960,1
2204,893,2
2204,895,1
2206,893,2
2263.8,1126.8,1.8667
2263,1120,1
2263,1122,1
2413.7,1299.3,1
2468,1061,1
2648,1495,1
2650,1495,1
2652,1225,1
2682.5,982.25,1.75
2686,1293,1
2802,1735,1
2878,1089,1
3026,1583,1
3039,1120,1
3082.5,1416,1
3083,1414,1
3170.5,1416,1
3170.5,1418,1
3171,1420,1
3173,1416,1
3173,1418,1
3173,1420,1
3189,1463,1.5
3213.8,1484.8,1.5
3215.5,1099,1
312,520,2
316,543,2
388,1285,2
455,1117,2
470,1334,2
472,1334,2
494,1227,2
498.67,1226.3,2.6667
504,960,2
513,1224,2
514,1362,2
523,521.5,2
525,520,2
549,752,2
552,1147,2
553,868,2
571,1274,2
571,1276,2
576,904,2.5
579,1242,2
589,502.5,2
594,578,2
607,276,2
627,1060,2
653,475,2
661,798,2
665.33,1009,2.6667
672.5,1466,2
673.5,944.5,2
691,639,2
722,1086,2
847,999,2
863,686,2
867,758,2
871.75,1156,3
908,1460,2
914,1148,2
916,1148,2
916,1318,2
921.67,1311.3,2
938,1018,2
938,1224.5,2
940,617,2
964,1082,2
964,1500,2
1007,290,3
1009.7,983.33,2
1062,1281,2
1066,1279,2
1076,1269,2
1091,873,2
1118,650,2
1152,1473,2
1204,633,2
1234.2,1014.6,2.95
1286,1165,2.5
1287.3,1604.3,2
1295,425,2
1301,820,2
1302,815,2
1303.8,818.4,2
1303,822,2
1327.1,725.57,2.4286
1348,528.5,2
1432.5,514,2
1464,1557,2
1464,1660,2
1501,1213,2
1513,1121.5,2
1525,700,2
1527,620,2
1533,684,2
1566,629,2
1568,628,2
1580,1388,2
1582,1388,2
1591,827,2
1593,827,2
1632,580,2
1636,1285,2.5
1639,1438,2
1647,733,2.5
1672,916,2
1689.5,452,2
1727,967,2
1750,501,2
1754,502.5,2
1761.7,819.33,2
1773,1437,2
1781,599,2
1783,350,2
1800,1441,2
1804,1629,2
1807,844.5,2
1809,843,2
1818.3,1587,2.6667
1818,1599,2
1853,1103,2
1889,1373,2
1917,1267.3,2.3333
1938.5,961,2
1966,719,2
1967,1449,2
2050.5,936,2.5
2064,1072,2
2103,1218.5,2
2105,1218,2
2106,450,2
2151,1094,2
2265,1394,2
2408,1301,2
2429,637,2
2431,637,2
2487,1040,2
2496,609,2
2497,1508,2
2497,1511,2
2514,1603,2
2514,1605,2
2577,1455,2
2577,1457,2
2584.5,1560,2
2588,1657,2
2590,1657,2
2670.5,1698.5,2.5
2672.5,1546,2
2703,1055,2
2788,1763,2
2797,822,2
2798,1638,2.5
2813,952,2
2825,1384,2
2828,1187,2
2894,1578,2
2919.4,637,2.6
2924,635,2
2925,864,2
3051,1286,2
3104,1066,2
3111,1666,2
3140,850,2
3152,899,2
3152,901,2
343,540,3
380,703,3
422,853.67,3
425.33,853.67,3.6667
426.75,720.25,3.5
460,1254,3
469,420,3
471,418,3
475,623,3
483,507,3
492.5,1230,3
507,951,3
510,1320,3
516,909,3
516,968,3
543,335.83,3.6667
545.5,683,3
567,654,3
574,904,3
594,576,3
613,929,3
615,929,3
617,1126,3
623.5,674,3
636,645,3
636,647,3.5
664,1047,3.5
705,861,3
718,1513,3
723,861,3
724.78,1587.4,3
798,1390,3
837,1195,3
869,1157,3
878.5,619,3
924,1143,3
932.5,1464,3
936,1018,3
938.5,1029.5,3
970,571,3
1006.8,709,3.3333
1006.5,711,3
1013.5,1158.5,3
1022,1040,3.3333
1048,1029,3
1051,1000.5,3
1051,1056,3
1074,1265,3
1076.8,1265.8,3.5
1102.3,720.83,3.5833
1114,1216,3.5
1122,1236,3.5
1151,1203,3
1194,1478,3
1224,1025,3.5
1227,1401,3
1245,1213,3
1287,1052,3
1302.9,1114.2,3.6667
1304,815,3
1327,628,3
1328.3,755,3
1340,1630,3
1346,528.5,3
1357,974,3.5
1442,1275,3
1445,1216,3
1455.8,1581,3
1497,1005,3.5
1497,1560,3
1538,1397,3
1552.5,1281,3
1567,542,3
1569,541,3
1587,940,3
1598.2,1051.8,4.25
1600,993,3
1634,1280.5,3
1638,1284.5,3
1648,677,3
1652,1668,3
1664,1089,3
1665,954,3.3333
1700,1698,3
1702,843,3
1702,1697.2,3.4
1708,359,3
1716,905,3
1744,1194,3
1771,1356.5,3
1772,919,3
1784,1432,3.5
1806,1629,3
1842,944,3
1844,944.56,4
1855,920,3
1855,1101,3
1880,568,3
1891,958,3
1903,1372,3
1946,1503,3
1963,1603,3
1985,1204,3
1986,1202,3
2050,1024.5,3
2057.7,1051.7,3.4286
2077,959,3
2077,1285.7,3.3333
2147,1119,3
2212.2,1336,4
2311,623,3
2415,1300,3
2510,1003.8,3
2511.8,871,3.3333
2514,1003,3
2526.7,685,3
2542.2,886.75,3.25
2583.5,1651,3
2587.2,1561,3.6
2598,546,3
2598,1157,3
2677,758,3
2679,758,3
2800,1638,3
2818,949,3
2822,954,3
2828,1611,3
2903,1312,3
2922,865,3
2922,867,3
2924,867,3
2949.3,1230.5,3.8333
2993,1669,3
3007,1278,3
3020,1378,3
3082,1528,3
3083,1416,3
3217,1097,3
3217,1099,3
375,898,4
396.5,674,4
402,1403,4
406,575,4.5
487,968,4
515,1228,4
517.5,1568,4
525,1659,4
542,1282,4
610,1440,4
622,1058,4
689,719,4
765,442,4
896,897,4
900,611,4
981,866,4
1011,767,4
1017,1038,4
1028,868,4
1094,1574,4
1126,1454.5,4
1128.2,1454.4,4.6
1136,1229,4
1155,383,4
1155,387,4
1224,1023,4
1311,754,4
1329.3,1333.3,5
1366.5,791.5,4
1366.2,796,4
1404,427,4.5
1441,826,4
1445,672,4
1452,669,4
1468.6,1208.8,4.6
1474,708.5,4
1486.8,793.62,4.5
1490,432,4.5
1492,428,4
1492,430,4.5
1499,1138,4.6667
1509,1641.4,5.2857
1519,1367,4
1556,586,4
1567,782,4
1581,1379,4.5
1583,825.5,4
1596,828,4
1601,1376,4.5
1617.7,1653.7,4
1621,731,4
1622,917,4
1646,1484,4
1649,1484,4.6667
1665,957,4
1668.5,1479,4
1708,361,4
1720,1030,4
1720,1574,4
1739.4,671.6,4.4
1767,980,4
1770,548,4
1776,601,4
1807,1127,4
1840,1463,4
1842,944.82,5.7273
1918.5,718,4
1933,1021.5,4
1954,809,4
1971,747,4
1985,615,4
2049,767,4
2058,1054,4
2075,1046,4
2077.7,963,4.3333
2077,1046,4
2092,662,4
2099,1034.5,4
2102,1092,4
2114,1228,4
2118,1263.5,4
2155,1510.2,4.75
2176.5,474.5,4
2193,969.25,4
2203.5,599.5,4
2223,757,4
2225,1611,4
2229,1676,4
2254,827,5.5
2287,1777,4
2381,1583,4
2391,985,4
2499,1419,4
2689,1386,4.5
2700,949,4.5
2723,1520.5,4
2746,756,4
2767,997,4
2965.3,1105.3,4
2983.3,915.33,4
3046,666,4
3048,1288,4
340,376,5
345,715,5
531,1147,5
531,1149,5
540,1264,5
627,670,5
687,353.5,5
704,1349.5,5.5
706.2,317.6,5.2
754,742,5
756,280,5
757,891,5
836,514,5
836,516,5
884,970.67,5.6667
890.2,1184.6,5
914,978,5
953,1222,5
987.33,797.33,5.3333
993,975,5
1013.3,1158.3,5.4
1022,1154,5
1051,998.5,5
1070,1064,5
1072,1064,5
1096,1576,5
1140.8,418.36,5
1153,383,5
1164,386,5.5
1200,944,5
1302,1467,5
1304,1088,5
1306,1063,5
1306,1117,5
1311,752,5
1312,1290,5
1313,752,5
1318,1419,5
1350,929,5
1359,1194.8,5.4
1402,423,5
1440.5,824,5.5
1467,705,5
1473,711,5
1474,1213,5
1477,778,5
1497,1007,5
1511,1640.5,5.5
1524.8,699.6,5.4
1541,1226,5
1560,1092,5
1567,784,5
1579,723,5
1594,1407,5
1604,1567,5
1630,1423,5
1638,587,5
1644,642.25,5
1643,1439,5
1651.5,896.5,5
1664,1089,5
1693,789,5
1701,1380,5
1706,975,5
1731,1242.5,5
1733,1242.5,5
1768,661,5
1773,550,5
1775.3,1359.3,5
1784,585,5
1787,872,5
1848,675,5
1849,727,5
1850,675,5
1860,1012,5
1862,1012,5
1892.5,1356.5,5
1924.7,736,5.3333
1924.7,738,5.6667
1959,419,5.5
1977.5,1619,5
1987,1185,5
2030,429,5
2030,1150,5
2062,1279,5
2063,1603,5
2105.5,1218,5
2119,1292,5
2143.5,999.5,5
2147,692,5
2147.5,694,5
2207,602,5
2223,594,5
2256,827,5
2330,458,5
2391,1307.5,5
2457,1226,5
2466,1699,5
2511.5,1392.8,5
2539.5,583,5
2576.5,1024,5.5
2630,848,5
2647,581,5
2649,581,5
2656,1170,5
2659,646,5
2736,724,5
2738,895.67,5
2740,729,5
2779.5,1783.5,5
2801,823,5
2880,1387,5
2930,1539,5
2939,1527,5
2949,778,5
2974,1161,5
3042,772,5
3063,940,5
3155,1419,5
474,871,6.5
516.5,1106,6
536.67,498.67,6.6667
542,1282,6
611.5,1470.5,6
709,316,6
721.17,1436,7.3333
740,1387,6
762.5,1100,6
768,1141,6
770,1143,6
847,1289,6
894,610,6
903,1462,6
988,1174,6
1010,1068,6
1024,1405,7
1086,350,6
1124,1304,6
1164.5,774.5,6
1172,1352,6
1175,1190,6
1179,658,6
1185,977,6
1192.3,372,6.6667
1198,946,6
1236,1010,6
1267,1556,6
1279,431,6
