222,1289,1
224,1289,1
238,984,1
278.2,2040.6,1
291,2110.5,1
313,624,1
329.5,2069,1
331,1369.2,1.4
343,651,1
381.5,1513,1
414,348,1.5
416,348,1
427,364,1
432,1246.2,2.4583
445,1238,1.5
445,1240,1.5
447,1238,1
450,2169.5,1
458.24,1063.1,2.0476
458,2256,1
467,310,1.5
469,310,1.5
477.5,459,1
480,2789,1
481,587,1
485.94,1664.3,1.7222
485,1668,1.5
507,2444,1.5
507,2446,2
513.33,679.33,1
533.5,232,1
541.5,1723,1
561.75,1153.2,1
580,1154,1
584.5,1695,1
590,857,1
590,859,1
605,708,1
626.5,2421.8,1.75
627,1978,1
644,1776,1
645.75,2199.2,1.5
646,1774,1.5
646,1776,1
655,1922,1
655,1924,1
660,1515,1
663,2043.5,1.5
672,1640,1
695,2151,1
700.5,1765,1
705,456,1
707,456,1
707,458,1
708,2677,1
714,760,1
722,833,1
723,835,1
737,594,1
738,870,1
737,872,1
746.5,2021,1
770.47,822.47,1.8235
781,1312,1
786,402,1
787.85,504.77,1.5385
788.8,985.4,1
802.67,2561.7,1
829,2308,1
831,2308,1
838,840,1
838,842,1
841.75,588,2
873.5,2581,1
873.67,2583,1.3333
876,1712,1
891,2300.5,1
897,2476,1
928,1265,1
930,1265,1
968,1481,1
968,1483,1
970,1481,1.5
970,1483,1
981.4,1920.8,1
999,698,1
1001.5,1195,1
1001,698,1
1041,2483.2,1
1075,2162,1
1075,2164,1
1077,2162,1
1077,2164,1
1080,2669,1
1084,2422,1
1085,595,1
1097,924,1
1166,396,1
1175,2269,1
1223,741.5,1
1229,2477,1
1232.5,606,1
1234,274,1
1261,899,1
1284,1881,1
1318,1870,1
1318,1872,1
1320.2,2454.3,1.3333
1322.5,1791,1
1343,2128,1
1351.5,2462,1
1364.3,877.67,1
1390,587,1
1400,2204,1
1424.7,1983,1.6667
1426,2813,1
1428,702,1
1442,865,1
1445,2665,1
1470,293,1
1474.2,1246.2,1.8333
1494,1124,1
1494,2169,1
1531.2,1126.5,1.25
1531,1129,1.5
1542,1189,1.5
1552.2,2040.4,1.5
1555.1,2064.1,1
1556,1457,1
1556,1459,1
1558,1455,1
1566,1087,1.5
1575.7,2274,1.6667
1592.5,2394,1
1597,2814,1
1600,2255,1
1607.2,1440.6,1.4
1625.5,1982,1
1625.7,1984,1.6667
1634,2263,1
1636,2263,1
1661,1481,1
1673,2038,1
1677,751,1
1681,2269,1
1715.2,2667.8,1
1715,2401,1
1715,2403,1
1741,1982,1
1747.5,2284.9,2.4286
1793,2674,1
1798,2322.5,1
1806,848,1
1806,850,1.5
1808,850,1
1810,850,1
1810,852,1
1812,1010,1
1838,627,1
1848,376,1
1862,2530,1
1892,1117,1
1915.7,2421.3,1.4286
1940,558,1.5
1988,962,1.5
1988,1816,1
1997.5,2131,1
2039,2066,1.25
2042.2,1119.8,1
2048,2467,1
2088.5,863.73,1
2117,2025.5,1
2129,2533,1
2132,2054.5,1
2172.6,785.57,1.4286
2220,1560,1
2222,1560,1
2239,399,1
2245,813,1.5
2262,1373,1
2317,905,1
2317,907,1
2333,482.25,1.75
2346,1444,1
2346,2466.5,2
2376,754,1
2379,2853,1
2425,1002,1
2456,1045,1
2466,2127,1
2471.5,1519.2,1
2487,2817.2,2.1667
2494,2853,1
2494,2855,1
2593,1331,1
2597,662,1
2623,2543,1
2708,1070,1
2727,370,1
2750,2453,2.1429
2753.9,1064.3,2.3333
2846,2498,1.5
2869,499,1
2949.4,606.2,1.6
2974,2440,1
2974,2442,1.5
226.5,1997,2
277,258,2
277,1157,2
279,1157,2
285,1644,2
288.5,2110,2
340,1085,2
346,287.67,2
345,460,2
368,386,2
372,1979,2
380.86,1931.3,2.4286
385,1754,2.6
385,1189,2
395,785,2
397,1157,2
438,485,2
459,1947,2.5
460,1060,2
472.67,2498,2
487,1099,2
487,1626,2
489,1099,2
497,424,2
498,1860,2
501,2119,2
514.5,1635.5,2.5
523,2543,2
545,657,2
553,1192,2
553,1194,2
553,2519,2
555,1192,2
555,2439,2
559,711,2
559,1502.5,2
566,373.08,2.9167
570,2582,2
575,882,2
582,1626,2
590,1555,2
606,1187,2
623,1118,2
624.5,885,2
624,1080,2
625,1062,2
625.4,1975,2
626,481,2
628,481,2
636.5,2021.5,2
659.75,2391,2
677,339,2
682,250,2
684,1167,2
692,1692.5,2
694,1693,2
709,454,2
711,1280.2,2.1667
714,762,2
714,1990,2
733.5,1445,2
739,1927.5,2
761,1528,2
763,2612,2
765,2612,2
773,2541,2
796,2643,2
819,640,2
821,640,2
828,1890,2
830,1854,2
832,1860.5,2
856.5,905,2
857.67,291,2
877,2409,2
882,413,2
889,418,2
911.5,1969.5,2
924,863,2.5
937,771.5,2
942.75,2753,2.5
960,2614,2.5
963,734.33,2
981,1924.7,2
1048.7,1852.7,2
1049.7,1753,3.3333
1054,1753,2.5
1066,713,2
1074,827,2.5
1074,829,2
1076,827,2
1088,2384,2
1101,1550,2
