"col","row","z"
315,38,0
358.2,46.4,0
307,50.5,0
305,51.5,0
322.1,53.1,0
370.5,52.5,0
395.36,53.636,0.2727
242,55.5,0.6
225.2,57.6,0.2
386.64,58.487,1.0513
286.55,59.818,1.2727
255.4,60.2,0
420.57,59.143,0.8571
371.5,61,0
336,61,0
246.5,62,0
265,62,0
375.89,65.543,1.087
321,64,0
464,64.5,0
237.33,65.5,0.3333
327.92,67.667,0
477.5,66.667,0.3333
281.22,68.667,0.2222
415.14,67.857,1.2857
228.5,68,0
293.4,70.2,0
450,69.8,1.2
320.71,71,0.1429
225,73,0
259,73.5,0.5
562.6,75.2,0.8
360.44,77.122,2.0976
349,76,0
241.74,76.174,1.4783
288.93,75.533,0.7333
423.67,79.667,0
470.67,84.833,0.6667
281.75,87.75,0
340.8,87.7,0.4
627,89,0
661.06,90.111,1.1667
621.38,91.885,1.6538
245.68,94.045,0.2273
260.47,95.211,0.6316
444.85,93.923,0.9231
308.56,97.778,0
408.2,96.5,0.4
578,96.25,0
281,98,0
492.67,97.556,0.6667
250.18,99.18,1.3636
628,99,0
748.67,99.67,0.5
412.57,100.86,0.2857
552,102.67,0.6667
304.46,103.88,1.2083
325.67,103.33,0.6667
634.5,103,0
642.58,104.25,0.25
674,104,0
671.71,110.71,0
523.6,106.6,0.4
427.33,107.67,0
444.5,107,0
460.1,110.4,0.8
748.5,110,0
349,112,0
582,112,0
597,112,0
468,113,0
459,114,0
844,114.33,0.6667
535.3,117.2,1.1
351,117.75,0
410.5,117,0
482,117.5,0
675,117,0
444.5,118,0
854.49,121.55,1.3774
239.5,122,0
358.43,124.43,0.4762
662,122,0
763,122,0
284,124,0
330.5,125,0
526.5,124.5,0
307.33,127.11,1.5556
302,127.5,0
543.25,128.12,0.125
300,128,0
376.77,131.12,1.2308
456.08,130.46,0.3077
661,129.33,0.6667
620.4,131.2,0
524.45,134.09,1.6364
476.8,133.6,0
656,134,0.5
672.5,133.75,1.7
231.67,137.33,0
635,136.67,0.8333
300.67,138.33,0
688.37,139.32,1.4211
732.88,140.12,0.75
449.12,141.88,0.5294
616.17,142.92,2.8077
297.38,142.12,0.375
421.2,142.4,0
438,141,0
529.67,141.33,0
236.08,144.17,0.6667
546,143,0
352.68,140.12,2.38
853.09,145.09,1.0455
332.88,143.55,2.3939
230,146,0
1032,146.5,0
540,147,0
689,147,0
847.73,148,1.3636
723,148,0
913.67,149,0.3333
299.09,152.64,0
732,153.75,0
1024.7,156.54,1.1964
281,155.67,0.3333
314.78,157.33,0.1111
1089.2,155.83,0.3333
483.5,157,0
205.67,158.33,0
851,158.5,0
909.25,159.19,0.8125
1085,158.33,0.5
845.14,160.71,0
1145.3,159,0.6667
994,160.25,0
419,164,0
421,164,0
613.2,165.7,0.7
1014.3,165.33,0
483.8,167.6,0.6
1106,167.5,0
344.5,168,0
353.5,168,0
663.36,169.09,1
682.5,169.5,0
915.26,167.67,1.8889
1204.5,169,0
1147.8,171,0
220.5,171,0
249.25,172.5,0.5
450.93,174.31,0.931
1129.2,173.83,0
388,175,0
759.25,176.25,0.5
220,176.5,0
865.87,177.33,0.8
908.8,177,0
346.79,173.86,1.2857
595,179.94,1
661.5,178,0
754,178,0
744.5,179.5,0
1110,179.5,0
1125.4,180,0.5714
253,180,0
840.25,179.75,0.5
1042.7,180.33,0
394.6,180.8,1.4
705.5,182.3,0.7
862.5,181.5,0
926.2,180.8,1
322.33,182.67,0
731,182.5,0
1147,182.25,0
357.14,183,0.5714
277.88,184.22,1.3438
463.58,184.29,1.625
634.36,185.73,0.2727
844.33,185.67,0
1140.5,185,0
880.09,188.55,1.1818
956,187,0.5
255,188.5,0
629.62,188.75,0
887.72,190.12,0.8438
1073.5,188.8,0.6
1200,189.85,0.4615
604.88,190.44,1.0625
614,189,0
677.88,189.5,0.375
690.25,189.75,0.25
686.79,190.36,2.3939
1135.4,191,3.0588
909,191.75,0
1309,192,0
433.58,194,0.3333
219.36,196.71,0.7818
618.46,196,0.7692
1349.2,194.8,2.0667
355,198.33,0.3333
367,199,0
1264.8,201.47,0.9333
889,199.73,1.7273
1207.1,199.55,1.1818
409,202.5,0
487.37,203.11,2.037
516.33,203.33,0.8889
1003,202.5,0
376.84,205.84,0.6842
1244.5,203.5,0
818,204,0
996.5,205.5,0
1089.8,205.77,1.5385
1105,206,0
352,207.5,0
875.48,207.65,1.1304
1290.7,208,1.8667
1389,207,0
720.17,208.33,0.6667
1211.2,209.07,0.7857
281.89,209.95,1.2105
389,210,0
906.25,210.53,2.6712
356.2,211.4,0
199.33,213.33,0
695.5,213.5,0
1313.7,213.67,0
664,215,0
1231.4,215.57,0.5714
289.47,219.93,0.4
1088,218.5,0
1272.5,218.5,0
905.4,221.2,0
1097,220.33,0.3333
1325.1,221.46,0
731.67,221.67,0
797.5,221,0
512,222,0
1111.4,222.29,0.7143
1272,222.5,0.5
396.5,222.08,1.3333
539.47,221.38,1.4375
226.45,225.09,1.5909
639,226,0
412,227.5,0
414,227.5,0
1091,227,0
240.03,229.59,1.4595
256.31,228.06,1.0625
428,228,0
1245,228,0
420,229.5,0
422,229.5,0
510.5,229.5,0
1107.5,230.85,0.6154
681.33,230.33,0
204,231,0
1300,231.5,0
793,232.5,0
1025.6,233,0.1429
198,234,0
304.67,234.5,0.6667
395.8,234.8,0.2
510,234,0
543.33,234.8,1.8
830.9,235.9,0.7143
914,237,0
941.78,237.89,1.2222
1210,236,0
244,237.5,0
560.32,239.24,1
206.42,238.46,0.9583
499.5,238,0
1273.5,238,0
655.17,239.67,0
665.5,239,0
1095.8,239.36,0.5455
530.88,241.25,1.1875
1305.7,240.67,0
358.8,240.2,0.6
474.6,241.8,0
941,242,0
454.29,243.79,0.3571
551.22,244.11,0
945.75,243.5,0.25
268,245.29,0.4286
507.69,244.54,0.0769
640.5,244.5,0
668.4,244.4,0.6
300.88,246.12,0
458.8,245.4,0
645.97,247.36,1.2778
270,246,0
368.5,246,0
419.55,247,0.8182
634.8,247.6,0
975.4,246.75,1.15
246,249.45,0.4545
542.83,250.17,0
757,249.47,2.2
512,250,0
874.93,256.05,1.8049
440.2,251.5,0.8
906.25,252.06,1.5
977,251,0
791,252.5,0
958.6,253.13,0.5333
210.98,255.73,1.9318
1097.6,251.92,1.3333
820.43,252.29,0.8571
921.5,256,0
226,256,0
478.56,255.78,1.2222
279,258,0
712.71,259.53,1.0588
1287.4,258.9,1.1
527.5,259.62,0.875
522.8,260,0.7
1110.2,261.5,0.5
240,262,0
650.6,262.4,0.6
808.92,262.67,0.5
971.45,264,0
538,263.33,1
583,263.5,0
604,263,0
613.29,264.29,0.2857
828.91,264,0.5455
485,264.79,0.8571
890.8,264.6,0
1268.2,264.25,0.5
1282.3,265.5,0.5
453,266,0
627,266,0
1111,267,0
353,267,0.5
740.33,267.44,0.4444
1263.5,267.5,0
685.5,268,0
943,268,0
637.67,269.67,0
