"col","row","z"
713,220,0
530,245,0
469.92,309.08,0
473,312,0
698,327,0
700,327,0.5
719,383,0
592.75,394,1.25
710,410.67,0.3333
427,414,0
806.5,429,0
516,440,0.5
533,471,0
931.4,478,0.6
800,482,0.5
644,486,0
1033,487,0.5
1080,499,0
653,511,0
1231,511,0
560,515,0
647,517,0.5
725.29,530,0.8571
865,538,0.5
1284,540,0
743,541,0.5
993,543,0
995,543.5,0
1097.2,545.7,1.4
1315,547,0
810.5,550,0
1323,560,0
1113,562,0.5
340.5,571,0
992.67,571.33,0.3333
1329,578,0
450,582,0.5
838,595,0.5
840,595,0
495,602,0
1636,607,0
1245.5,608,0
1418,611,0.5
786,612,0.5
1007,617,0.5
1323,617,0
431,628,0
470,628,0
436,631,0
1139,636,0
790.5,641.5,0.5
793,641,0
799,643,0.5
384,652,0
1122,654,0
968,665,0
1516.3,665,0.5714
750.25,676,0
1658,676,0
1658,678,0
1030,683,0
1716,683,0.5
1718,683,0
1030,685,0
606.25,689,0.625
1663,688,0
776,693,0
1441,698.5,0.3333
1728,703,0.5
1025,708,0
1108,708,0
1097,710,0.5
827,711,0
603.78,716.56,0.6667
1244,717.67,0.6667
1246,718,0
1531,721,0.5
600,722,0.5
610,724,0.5
1500,728,0.5
821,730,0.5
389,733,0
830,733,0
1642,734,0
1421,737,0
729,741,0
1587,763,0.5
1214,764,0
1734,788,0
1353,795,0
1902.5,796,0
637.75,807.75,0
834.33,808.33,1
1354,809,0
598,810,0
1429,819,1
215.5,820,0
906,820,0
391,831.67,0.6667
403,836,0
407,840,0
548,845,0
962,848,0
1837,850,0
264,851.5,0
1837,852,0
268.33,853.67,0
1042.5,859,0
1042.8,861,0.6
938,864.5,0.25
289.5,864,0
940,864,0.5
718,865,0
940.25,867.38,0.625
1929,875,0
305,879,0
628,883.75,0.75
624,884,0
1441,886,0
871,887,0
871,889,0
333,890,0.5
1755,898,0
934,900,0.5
966,901,0.5
365,904,0
367,909,0.5
1316.5,913,0
536,914.5,0
1315.8,915.25,0
2072.7,915.18,1.6364
1313,916,0
677,917,0
826.5,917,0
1673,917,0
770.67,919.33,0
773,919.67,0.3333
1673,919,0
635,927.5,0
863,930,0.5
1560.8,932,0.6
921,946,0
1582,949,0
1584,949,0.5
857,955,0.5
859,955,0.5
1713,955,0.5
799,965,0
1327,966,0
364,970,0
1412,976,0
2042,976.75,1.25
1093.3,984,0.6667
727,985,0
1934,985,0
1093,986,0.5
1193,986,0
1379,986,0
727,987,0
2130.5,990.5,0
1087,992,0
966,993,1
968,993,0.5
1087,994,0
2262.5,998,0.6667
2167,1000.6,0.2857
1982,1002.8,0.5
757,1005,0
352,1006.8,0.75
1087,1006,0
1089,1006,0
1371,1009,0
1131,1010,0
1133,1010,0
1133,1012,0.5
1135,1012,0
1171.5,1012,0.5
1098,1013,0
1155,1015,0
463,1016,0
1985,1022,0
432,1030,0
888,1031,0
2111,1041,0.5
1387,1043,0
2111,1043,0
805,1047,0
1516,1051,0
2284,1056,0
1036,1060,1
460.08,1067.8,0.4167
530,1068,0
1863.9,1068,1
1863.8,1070,0.6
931,1074,0
933,1074,0
2106,1074,0.5
524,1075,0.5
493,1080,0
1686,1083,0.5
844.25,1085.2,0.75
517,1094,0.5
1689,1098,0.5
2125.4,1101.6,1.1538
431,1107,0
2073,1114,0.6667
1073.7,1120,1.5
1530.3,1123.7,0.3333
1107,1125,0
