"col","row","z"
518,285,0
479.5,293,0
548,303,0
471,309,0
473,312,0
491.5,322,0
588,324,0
626,346,0
658,346,0
630,347,0
632,347,0.5
652,354,0.5
617,374,0
729,390,0
836,399.5,0
838,399,0
834,405,0
836,405,0
838,405,0
427,415,0
656,415,0.5
854,414.8,0.8
829.88,418,0.875
794,418,0.5
509.75,423.75,0.25
649.6,424,0.2
496.1,426.7,0.4
567.5,426,0
673,427,0
848,428.83,0
733,430.25,1
813,429,0
813,431,0
878.5,435.5,0
515.56,439.33,0.5556
593,443,0.5
532.17,444.83,1.1667
730,446,0
586.67,447,0.3333
619.5,448,0
627,450.5,0
704,452,0
574.5,455.5,0.5
762.44,456.44,0.2222
892.33,458,0
897,459.33,0.3333
957.5,462.25,0.75
554,466,0.5
721,466,0
781.07,466.93,1.5714
851.4,469.3,0.8
533,471,0
535,472.33,0.6667
734,475,0
812.5,475,0.5
899,476.33,1.0556
498.4,476.9,1.2
689,477.5,0
852.33,477.67,1.25
930,478.67,0.3333
731,481,0
746,480,0
987.67,481,0.6667
562,481,0
800,482.5,0.5
999,482,0
1047,483,0.5
712.33,484.67,0
581.67,484.89,1.2222
672.33,487,0.5
715,489,0.5
966,489,0.5
636.38,489.56,1.4375
624,493,0.5
513,495,0
682.6,496,0.8
745,497,0
848,497,0
794.91,499.82,0.9091
1080,499,0
663,501,0
491,506,0
961,506,0
641,507,0
799,513.14,0.2857
496,513,0
803.8,513.6,0.6
811.29,514.14,1.1429
1014,515,0
1052.6,515.6,0.6
364.5,517,0
749,517.75,0
1024,517,0
581.5,518,0
694.75,518.75,0.5
770,518,0
598,519,0
660.67,520,0.6667
514,520,0
525,520,0.5
806.2,523.6,0.2
1092,523,0
821.5,524.5,0.5
345,528,0
863.78,527.89,0.6667
517.68,530.05,1.4737
807,529,0
468,531,0
650,532.5,0.5
780,533,0.5
429,536.29,0
443.38,536.85,1.0769
627,537.5,0
972.17,538.33,1.5
865,538,0.5
734,539.5,0
626.5,541.33,0
732,540,0
1082,540,0
1097.3,544.17,1.3333
492,542,0.5
1107.3,546.36,0.2143
437,545,0
437,547,0.5
494.5,552.75,0.25
447.4,554.9,0
630.8,553.6,0.4
653,554,0
979.14,558.64,1.0714
719,559.33,0.6667
1086,559.43,1.3571
805.5,560.25,1.25
1130.6,561,0.8
974,563.67,0.3333
414.1,565.2,1.5
600.4,563.73,0.8
374,565,0
438,565,0
511.25,564.25,0.5
442.78,566.44,0.8889
438,567,0
450.33,567.67,0
761,567,0
894.4,568.1,1.6
905,568,0
1089.5,568,0
1114.6,571.22,1.1111
729,571.5,0
411,572,0
761,572,0
992,572,0
1025.5,573.67,0.8333
1082,574,0.5
415.5,574,0
898.29,574.76,0.8235
426.25,575.5,0.25
814,575,0
494,575.67,0.6667
434,576,0.6667
860,578,0
1328,579.33,0.3333
955.2,580,0.6
389,581,0
429.29,582.14,0.4286
994.71,582.29,0.7143
665.5,583.5,0
733.5,583.67,0.3333
950,584,0
1028.5,584,0.5
508,586,0.3333
766.87,587.4,1.4667
1133,590.5,0.5
430,590,0.6667
656.5,590,0.5
1114.5,590,0
662,591.33,1.1667
942.57,592.43,0.2857
509,592,0
310.5,593,0
432.5,594,0
991,598,0
841,600.5,0.5
529,600.67,0.6667
1138.4,601.2,0.5
972,603,0
1051,603,0
370.12,604.12,0.5
685.43,606.71,0
1076,605,0
818,606,0
820,606,0
423,607.5,0
873,607,0
910,608.8,0.4
805.22,611.22,0.4444
827.5,611,0
785.2,612.7,0.7
792,612,0
1126,611.5,0.5
1268.2,613.17,0.3333
876,613,0
1110,613,0
940.17,615,1
391.75,615.62,0.875
1006.8,617.62,0.5
1243,618,0
463,619.5,0
1243,620,0
1113,621,0
1115,621,0.5
1115,623,0.5
1356,623.5,0
611.2,624,0.4
498.25,626.12,0.625
1351,625,0
796.5,626.25,0.25
1121.3,627.5,0.6667
431,628,0
1119,628,0
504,629,0
956,629.5,0
436,631,0
655,631,0.5
969,632.5,0
323,634,0
927,635,0
1091,635,0
1139,635.5,0
424,636,0
426,636,0
811,636,0
419,637.5,0
787,638,0
795,639.5,0.5
969,641,0
973.52,642.9,0.619
432,643,0.5
799,643,0.75
939.4,644.2,0.8
614,645,0
742,645,0
534.88,646.5,1.375
986.63,647.95,1.5789
742,647.33,1
940,647.5,0
621.2,648.2,0.6
1157,648.88,0.25
1265,649.75,1
892,650,0
1324.7,650.71,0.7143
385,651,0
523,652.25,0.5
1121.5,654,0
756,655,0
804.45,656,0.6364
542.5,656,0
1295,659,0
1332,659,0
1535,660,0
1295,661,0
1484,663,0
967,664.67,0.3333
1261.8,665,0.25
641.4,666.4,0
635.5,667,0.5
953,667,0
972,668,0.5
831,669,0
565.43,670.29,0.5714
1452,670,0
576.33,671.33,0
641.4,671.6,0.4
767.83,671.17,0.6667
1385.1,672,0.7778
644.5,673.5,0
1142.5,674.25,0.75
1113,674.57,0.4286
1258,675,0.5
592,677,0
1472.5,678,0
901.2,679,0.2
581.5,680,0.5
1495.2,681,0
1127,681,0
790.5,683.17,0.5
1032,682,0
1034,682,0.5
1030,683,0
1215,684,0
1470,684.5,0
1541.4,685.88,1.4375
740.67,686.33,0
1317,686,0
661.67,687.33,0.8333
1424.3,688,0.3333
597.58,690.42,0.1667
743.5,689,0
1321.7,688.33,0
1408,691,0
447.78,693.56,0.3333
631,693,0
1175.3,693.67,0
1410,693,0
747.42,693.25,1.4167
431,695,0
1158.6,695.6,0.8
1448,695,0
1582,696.2,0.4
1366.7,698.18,0.1818
1441,697.67,0.3333
1447.5,697,0
411,698.33,0.6667
596.5,698.5,0
959,698.8,0.6
1513,699,0.5
545.75,700.25,0.75
553,702,0.5
591,702,0.5
1055,702,0.5
1645,702.33,0.6667
827,703.67,0.3333
516,704,0.5
696,704,0
670,705,0.5
516,706,0
693,706.2,1.3
772,706,0
1018.2,709,0.6
1108.5,708.5,0.5
1346,708,0
1026,709,0
1380,709,0
832,710.33,0.6667
1096,710,0
1098,710,0.5
1170,711,0
828,712,0
984.5,712,0
483,714,0
695,717,0
1535.3,717,0.6667
295,718,0
599.5,722.12,0.25
