"col","row","z"
615,413,0
789.75,466.62,1.375
955,635,0
402,672,0
402,676.5,0
438.83,677,0.3333
647,751,0
883,772,0
668,797,0.5
1314,814,0
699,821,0
699,823,0
668,843,0
944,909,0
1266,933,0.5
936.75,951,0.25
1730.5,958,0.5
1730,960,0
1029,966.5,0.5
1657,989,0
1657,991,0
885,1023,0
2262,1032,0
1320,1095,0
629.67,1189.7,0.5
758,1190,1
758,1192,0
1935.5,1255,0
752,1314,0
2752,1314,0
1456,1342,0
945.7,1345.2,0
1456,1344,0.5
1783,1354,0.5
1127.5,1392,0
2265.5,1415,0
2562.4,1421.2,0.6875
2763,1420,0
1707,1447,0
720,1459,0
1194.1,1471.5,0.4
2626,1477.7,0.4286
602,1503,0
707.5,1506,0
3041,1542,0
3041,1544,0
1381.2,1585.6,0.6
1380,1589,0
1988,1594,0
3746,1611,0
1625,1625,0.5
1926,1626,0
3649,1647,0
3717.5,1697,0
3014,1703,0.5
3715,1709.5,0
3305,1712,0
1995,1713,0.5
1950,1714,0
3305,1714,0.5
1038,1744,0
2488.7,1780.7,0
1334,1789,0
930,1795,0
2401,1825.5,0.75
3424,1841.5,0
3753,1844,0
3008.3,1871.7,0.5
3673,1872,0.5
3723,1882,0
3861,1896,0
2623,1934,0
2505,2025,0
3355,2025,0
2503,2027,0
1215,2059,0
1217,2059,0
1259.1,2060,1
1294,2169.5,0
2849,2169.5,0
3619,2207,0
2446,2226,0
1012,2281.5,0
1495,2295,0
2306,2472,0.5
2306,2474,0
2304,2476,1
2065,2496,0
2543,2543,0
1842,2585,0.5
1844,2585,0.5
3531,2599,0
2811,2600,0
2059.5,2604,0
1886.5,2616,0.5
3109,2669,0
2482.5,2733,0
1881.5,2737,0
3548,2780,0
1913,2804,0
1657,2830.5,0
2196.9,2840,0.4444
886,2868,0
1065,2935.8,0.6
779,2945,0
3008.5,2946,0
3368,2952.5,0
1080,3027,0
1080,3029,0
1351.2,3040.6,0.8
3826.5,3064,0
1352,3096,0
1352.7,3100,0
2156,3104,0
2158,3104,0
3576,3111,0
2937.8,3129.2,0
2769,3129,0
2899,3129.8,0.4
2079,3168,0.5
2344.5,3211,0
2429,3212,0
2718,3269,0.4
2005,3351,0.5
2024,3357,0
2068,3467,0
2786,3515,0
3326.3,3521.6,0.4286
3324,3524,0
2642,3570,0
3121,3581,0
2477,3616,0.5
2223.5,3621,0
3417,3701.3,0.6667
3649.7,3725.3,0
3075,3757.5,0
3073,3758.5,0
2125,3767,0
2503,3917,0
3556,4029,0
2702.5,4032,0.5
3185,4085,0
3622,4460,0
3624,4460,0
3622,4462,0
3624,4462,0
715,532,1
1206,606,1
882,610,1
960,638.5,1
792,661,1
815,689,1
1552,764,1
1277,767,1
1322,788.5,1
666,797,1
670,797,1
1060,922,1
1604,930,1
1266,935,1
530.67,939.33,1.75
1063,980,1
760,997,1
1089.5,1045,1
1046.3,1052.3,1
1793,1100.5,1
2507,1149,1
2259,1155,1
1051,1184,1
1053,1184,1
931,1185,1
1171,1201,1
2451,1215,1
2617,1231,1
2613,1232.5,1
965,1252,1
746,1274,1.5
593,1290,1
2461,1292,1
2814,1354,1
2522,1393,1
821,1399,1
932.64,1427.8,1.4286
1109,1447,1
2149,1479,1
2213,1484,1
2215,1484,1
737,1497,1
2051,1556,1
2053,1556,1
3080,1563,1
3078,1565,1
3080,1565,1
1744,1568,1
3634,1576,1
1255,1595,1
3410,1597.4,1
1339,1616,1
3677,1641,1
1315,1650,1
2214,1665,1
3622,1679,1
3235,1690,1
3718,1693,1
3521,1697,1
1644,1699,1
3521,1699,1
3714,1707,1
3307,1714,1
3305,1716,1
1203,1721,1
1205,1721,1
3589,1725,1
3594,1756,1
2857,1774,1
1299,1776,1
2490.5,1784,1
2744,1792,1
927,1796,1.6
2648.8,1829.8,1
2939,1842.8,1.75
1959,1844,1
3284.4,1873.6,1
2376,1900,1
2133,1904.5,1
3741,1906,1
2760,1912.7,1
2478.3,1939.7,1
521,1944,1
3031,1980,1
1843,1997,1
2815,2017,1
1304,2018,1
1302,2020,1
1337,2030,1
3343,2032.5,2.3333
795,2046,1.6
668,2048,1
2172,2064,1
1482.2,2084.2,1
2696,2083,1
1243,2090,1
1245,2101,1
1610.2,2123.3,1.5
3502.8,2125.2,1.5
2867,2132,1
2869,2132,1
2381.5,2135,1
2770,2152,1
2920,2174,1
3218.5,2214,1
3047,2223,1
3517,2227,1
3345,2251,1
3345,2253,1
3423,2257,1
1968,2285,1
2502,2305,1
3581,2327.5,1
990,2335,1
992,2339,1
2462,2352,1
1999,2357,1
3344,2358,1
3448,2394,1
2297,2402,1.5
3254.5,2402,1
3644,2411,1
860,2433,1
3556.8,2436.8,2.0909
1158,2447,1
3532,2448,1
1847,2471,1
2304,2474,1.5
2122,2487,1
1105.4,2503,1
1892,2509,1
1292,2514,1
1011,2520,1
1022,2553,1
1573,2572.3,1.3333
2249,2578,1
1915,2600,1
1467,2614,1
1869,2637,1
2439,2643,1
2213,2656,1
3840,2669,1
1824,2701,1
1882,2706.5,1
2273,2724,1
2273,2726,1.5
1128.5,2765,1
2234,2773,1
1329.5,2814.5,1
1935,2835,1
1149,2851,1
884,2868,1
3253,2872,1
3903.5,2875,1
3214,2925,1
3214,2927,1
1515,2931,1
3042,3017.5,1
2757,3026,1
2757,3028,1
2489,3059,1
2711,3059,1
1038,3075,1
1625,3098,1
3311,3115,1
1469,3124,1
2081,3166,1
2081,3168,1
2679,3172,1
2762,3198,1
2142,3199,1.5
2144,3199,1
1943,3214,1
1050,3215,1
3008.7,3221.3,1.6667
1632,3246,1
2700,3286,1
2702,3286,1
2365,3287,1
2608,3306,1
1256.2,3343,2.375
1946,3357,1
3531,3365,1
1261,3368,1
2200.5,3368,1
2199,3392,1
2877,3398,1
3551,3405,1
1678,3424,1
2416,3434,1
3663,3446,1
2929,3459,1
2113,3484.5,1
2706,3496,1
1479,3517,1
3490,3629,1
1896,3640,1.5
2501,3682,1
2502,3733,1
2504,3733,1
2356,3736,1
2153,3812,1
2703,3819,1
2757.8,3838.8,1.5
3419,3907,1
3156,3969.5,1
3599,3970,1
2898.5,4003,1
3642,4025,1
2603,4026,1
3825,4034,1
3827,4034,1.5
3946,4108,1
3948,4108,1
3654,4156,1
3669,4171,1
3309.5,4293,1
3304,4310,1
3830,4403,1
3478,4435,1
562,345,2
910,472,2
1612.5,690,2.5
1712,724,2
574,730,2.5
507,746,2
989,826,2.5
989,830,2
412,854,2.5
725,876.5,2.5
526.2,920.6,2
1596.6,940.31,3.6923
999,953,2
1298,1003,2
2126,1008,2
1769.5,1013,2
951,1068,2
1431,1112,2
1926,1121,2.5
922,1138,2
1288,1156,2
2256,1156,2
756,1192,2
758,1192,2
2210,1192,2
756,1194,2
1586,1201,2
1968,1203.5,2.5
944,1230,2
2615,1233.5,2
1857,1242.5,3.3
640,1247,2.5
640,1251,2.5
738,1262.4,2
2230.5,1309,2
1722,1338,2
2429,1341,2
1814,1361,2
2542.5,1387,2
1830.3,1434.1,2.7273
1917,1438,2
1408.7,1450.3,3
2191,1457.5,2.5
2854,1476,2
838,1485,2
1813.5,1515,2
593,1528,2.5
