29,424,1
31.545,422.18,2.0909
36,463,1
36,465,1
38,463,1
38.571,465,2.4286
49,592,1
64,624,1
66,624,1
67.5,381,1
70.333,467.33,1
78.815,576.52,1.3333
79,826,1
79.533,548.17,2.8667
83.111,765.56,3.0278
84,870,1
83.647,835.94,2.2353
86,870,1
86,872,1
89.5,816,1
91.875,381,1.125
93.6,803,1.85
93.4,363,1
93.86,853,3.6
94,375,1.5
98.7,992,1.1
100.8,836,1.4
100.5,838,1.5
103.33,1019.3,1.6667
105,958,1
107,688.14,1
107,654,1
107,960,1
109,683,1
109,958.5,1.5
109.25,976.75,2.5
113,687,1
115,1077,1
121,852.33,1.6667
121,1172,1
125,1086.3,1
124,1173,1
126,1173,1.5
128,939,2
129,384,1
130,543,1.5
130,935.43,2.5714
133.67,1144,1.3333
134,928,1
137.79,1203.6,1.8333
136,691,1
135.83,1074.8,1.5
136.96,1031.3,2.4583
138,724,1
138,1184.5,1
139,738.75,2
139,1174,1
140.33,724,1.3333
141.5,879,1.5
141.5,881,1
142,922,1
144,1158,2
151.71,522.43,1.8571
152.33,1028.5,1.6667
159.4,1099.2,1
158.61,1453.5,3.0645
164,1061,1.5
164.17,398.5,1.8333
165.25,1289,1
165,392,1
165.95,1338.8,1.85
167.08,520.92,1.5385
166.5,679.75,1.25
167.2,1315.5,2
168,382,1
169,1037.2,1
169.2,380,1.4
171,523.5,1
173,444,1
172.5,1093,2
175.5,1605,1
176.29,1168.2,2.2941
177.43,435.57,2.5714
178.75,720.75,1.25
180,1284.5,1.5
181,406,1
181,663,1
181,1443,1
183,1602,1
187.25,1571.2,2.5
184.77,1605.2,2.4231
184,1394,1
186,683,1
192.13,1523.5,1.6
194.68,1079.1,1.72
194,1061,1
195.5,1034.5,1
195.71,1262,3.1935
200.38,1265,1.875
201.5,761.5,1
203.83,769.67,2.9444
204,1030.5,1
211,1619,1
212,418,1
212,518.5,1.5
212.21,1582.7,1.7143
216,433,1
216.5,761.5,1
215.5,1010,1.5
217.71,1384.1,1.7143
219.42,736.25,2.25
221.38,875.88,2.125
221.1,1661.4,2
224,1625,1
225,377,1
226,1322.5,1.3333
228,675,1
230.65,753.48,1.2609
228,792,1
230,675.67,1.3333
230.6,769.8,1
230,1337,1
231,345,1.5
231,347,1
233.6,1292.6,1
233,1647,1
234,400,1.5
234,1351,1
236,794,1
236,1620,1
237.5,1647,1
237.5,1649,1.5
237.6,452.6,1.8
240.62,592.62,1.75
237.86,767.71,2
240.8,1343.3,1.6
240,1086,1
241,768,1
241,1139,1.5
242,824,1.5
243,864,1.5
244.5,1022.9,2.25
245.33,864,1.6667
246,1434.5,1
247.2,400,1.6
247.67,1313.7,1
250.5,975,1
250.5,977,1
251,1027,2
252,648,1
