"id","shaft"
187,0
190,0
188,1
191,1
188,0
191,0
190,0
196,0
197,0
222,0
201,0
205,0
219,0
236,0
242,1
228,0
233,0
235,0
251,0
192,1
193,0
206,0
209,0
207,1
203,1
207,1
193,0
207,1
202,0
203,0
205,0
213,0
217,0
201,0
200,0
206,0
217,0
223,1
211,0
214,1
194,0
206,0
200,1
200,0
197,0
192,0
202,0
196,0
222,1
210,0
220,1
213,0
225,0
234,0
236,0
234,1
237,0
237,1
254,0
235,1
227,0
234,0
227,0
231,0
230,1
232,0
233,0
227,0
251,1
241,0
244,0
245,0
231,1
237,1
235,0
227,1
229,1
230,1
253,1
250,0
195,0
194,0
194,0
198,1
205,1
204,0
210,0
219,0
221,0
225,0
254,0
195,1
205,0
196,1
192,0
207,0
208,0
215,0
222,0
208,0
215,0
220,1
218,0
200,0
215,1
222,1
221,1
223,1
218,0
222,0
237,1
226,0
225,1
231,0
237,0
252,0
247,0
230,0
225,1
228,0
230,0
238,0
247,0
250,0
241,0
254,0
244,1
189,1
189,0
191,0
189,0
190,0
187,1
191,1
191,1
190,0
194,1
202,1
203,0
205,0
199,0
220,0
198,0
205,0
215,1
196,0
197,0
203,0
197,0
206,0
192,1
197,0
195,0
209,0
220,0
218,1
220,0
231,0
236,0
227,0
244,0
250,0
227,0
249,0
238,0
236,0
231,0
242,0
249,0
248,1
245,0
244,0
241,0
247,0
251,0
231,0
238,0
224,1
229,0
231,0
231,0
239,0
236,0
247,0
247,0
251,1
242,0
250,1
249,0
195,1
204,1
210,0
212,1
216,0
216,1
206,1
215,0
192,0
195,0
198,1
210,1
218,0
210,0
215,0
216,0
219,0
218,0
195,0
202,0
197,1
200,0
208,0
222,0
224,1
239,0
231,1
228,0
232,1
253,0
255,0
254,0
238,0
228,0
235,0
240,0
254,0
244,0
255,0
226,1
233,0
248,1
254,1
245,0
247,0
236,0
254,0
199,0
195,0
200,1
204,1
198,0
222,1
199,1
198,0
198,1
213,1
215,0
226,1
226,0
230,0
234,1
238,0
237,1
251,0
241,0
254,0
255,0
251,1
248,0
253,0
250,0
228,0
236,0
230,1
238,1
255,0
243,0
251,1
251,1
200,0
207,0
194,1
208,1
210,0
213,0
211,0
223,0
199,0
210,0
217,0
216,1
223,0
211,0
208,0
215,0
217,0
218,0
229,0
231,0
237,1
245,0
236,0
230,1
226,0
234,1
237,0
246,1
240,0
249,0
241,0
258,0
265,1
259,1
283,1
277,0
297,0
315,0
290,0
293,0
299,0
288,1
310,0
309,1
266,1
270,0
260,0
266,1
286,0
283,1
262,1
275,0
259,0
260,0
269,0
265,0
258,0
283,0
283,0
282,0
282,0
286,1
282,0
284,0
283,0
278,1
258,0
258,1
264,1
269,0
266,0
256,1
262,0
256,0
264,0
259,1
264,0
276,0
275,0
275,0
279,0
284,1
279,0
281,0
283,0
281,0
275,1
296,1
301,0
314,0
311,1
300,0
299,1
296,1
312,0
309,1
312,0
317,0
298,0
299,0
301,0
299,0
288,1
300,1
305,1
307,0
313,0
293,0
289,0
290,1
296,0
307,1
307,0
312,0
278,1
284,0
277,1
311,1
315,0
304,0
256,0
261,0
265,1
259,1
257,0
272,0
276,0
278,0
282,0
274,0
265,1
262,0
275,0
272,0
279,1
276,0
287,0
294,0
292,0
302,0
294,1
295,1
298,0
296,0
300,1
302,0
305,0
309,0
292,0
295,0
303,0
296,0
300,1
288,0
301,0
265,0
263,1
260,0
266,1
269,0
267,0
268,0
265,0
276,1
272,0
286,0
283,0
279,0
268,0
286,0
280,0
270,1
257,0
276,0
274,1
283,0
268,0
256,1
262,0
263,0
266,0
272,0
285,1
277,0
286,0
282,0
291,0
289,0
294,0
298,0
300,0
309,0
308,0
305,0
301,1
301,0
292,1
299,0
296,1
292,0
301,0
307,0
311,0
311,0
302,0
296,0
301,0
293,0
300,0
299,0
290,0
313,0
315,0
307,0
312,0
314,1
309,0
301,0
298,1
295,0
293,0
308,0
315,0
305,0
311,1
309,0
317,1
315,0
264,0
271,0
260,0
266,0
285,0
284,0
260,0
260,1
256,0
258,0
264,0
275,1
274,1
284,0
282,0
275,0
287,0
260,0
265,0
261,0
265,0
260,1
266,0
271,0
259,0
258,0
281,1
278,0
281,0
286,0
295,1
301,0
300,1
293,0
300,1
290,0
312,0
311,0
295,0
292,0
297,0
312,0
307,0
309,1
306,0
313,0
312,1
288,1
290,1
298,1
294,0
293,1
302,1
296,1
309,1
305,1
310,0
258,0
271,0
258,1
259,0
267,1
274,0
273,1
287,1
258,0
258,1
266,0
285,1
296,1
291,1
300,0
316,0
300,0
293,0
310,1
309,0
310,0
313,0
314,0
257,1
265,0
260,0
266,0
272,0
274,0
265,1
274,1
276,1
275,0
277,1
281,0
289,1
300,0
303,0
292,0
292,0
308,0
311,0
315,0
299,0
314,0
315,1
191,0
191,0
188,1
188,0
191,0
197,0
198,0
220,0
218,0
194,0
200,0
197,0
219,0
194,1
193,0
200,0
202,0
198,0
221,0
220,1
220,0
221,1
211,1
222,0
221,0
195,0
201,0
194,0
195,0
204,0
196,0
202,0
202,1
200,0
216,0
222,0
214,1
211,1
227,0
250,0
255,0
233,1
236,0
237,0
233,1
251,0
243,0
253,1
228,1
229,1
225,0
240,0
252,0
242,1
242,0
240,0
231,0
225,0
234,0
227,1
224,0
232,0
231,1
243,0
247,0
250,0
253,0
255,0
249,0
207,0
202,0
199,1
206,1
210,0
216,1
221,0
213,0
219,0
217,0
219,0
196,0
203,0
203,0
204,0
209,0
211,1
209,0
236,1
235,0
244,0
253,0
248,0
243,1
254,0
234,1
233,0
247,0
243,0
255,0
255,0
275,1
285,1
274,1
283,0
271,0
257,0
271,1
263,0
279,0
285,0
286,1
276,0
280,0
261,0
267,1
264,1
267,0
258,0
263,0
266,1
268,1
257,0
269,1
267,1
280,1
280,1
280,0
284,0
272,1
269,0
256,0
269,1
286,0
274,0
284,0
298,0
301,0
288,0
294,0
297,0
317,1
316,0
304,0
