"col","row","z"
287.25,57.75,0.75
376.17,64.333,0.5
377,67,0.5
349,75.5,0
351,75.5,0
281.93,80.143,0.2143
246.69,92.846,0.3077
244,95,0
492,97,0.5
350.67,117.33,0
330,125,0
357,125,0.5
359,125,0.5
378.5,129.5,0.5
639,130,0
421,141,0.5
528.67,141.33,0.6667
236,143,0.5
421,143,0.5
236,145,0.5
914,149,0.3333
314.82,156.77,0.4545
994.5,159,0
994.33,161,0.6667
1013,164,0
665,168,0
345,168,0.5
1042,179,0
840.75,179.5,0.75
430,193,0
434.5,193,0
1310,218,0
1107.4,230.6,0.5333
658,231,0
475,241,0
475,243,0
420,246.67,0.3333
485.25,264.62,0.375
357,278,0
742.33,335.33,0
304,336,0
495,349,0
904,352,0
908,354,0
908,356,0
524,359,0
575,371,0
740,370.88,0.75
1192,376,0
1185,380,0
814,382,0
476.67,389,0.3333
389,414,0
249,415,0
776,420,0
294.17,421.83,0.5
775.8,422.6,0.4
622.8,429.8,1
742,431,0.5
722,436,0.5
280,441,0
408.33,441,0.3333
394,457,0
838.5,460,0
841,462,0
827.8,469,0.5
623,469.5,0
1236,476,0
371,492,0
371,494,0
498,498,0
688,500,0
688,502,0
1030,511,0
1003,517,1
853,519.67,0.3333
1003,519,0
611,534,0
613,534,0
586.4,537.7,0.8
591,541.5,0
1054,548,0
1054.8,550,1
672,568,0
1314.5,583,0
853.5,584.17,1.5
1033,585,0
1035,585,0.5
1314.2,585,0.4
334,587,0.5
555,594,0.6667
668,597,0
777,608,0
779,608,0
779,610,0.5
1070,611.5,0
1068,612,0
1219,615,0
341,630,0
1087,634,0
443,638,0
659.5,647,0.5
811,658,0
470,663,0
588,666,0
590,666,0
818.5,670,0
333,675,0
1000,683,0
1002,683,0.5
1004.5,683,0
1000,685,0.5
1002,685,0.5
349,688.5,0
590.33,688.83,0.6667
588,689.5,0
228,695,0
802,695,0
802,697,0
595,707,0.3333
996,707,0
1034,707,0
994,709,0
562,714.67,0
1053,716,0
1176,720,0.5
833,729,0.5
835,729,0.6667
283,738,0
317,739,0
993,744,0
811,758,0
904,758,0
1219.6,764,0.25
634,768.8,1.2
956,772,0.5
238,774,0
824,779,1
1131,789,0
1133,789,0.5
104,800.5,0.5
664,800,0
666,800,0
664,802,0
666,802,0
483,809,0
140.57,810,0.4286
706,810.33,0.3333
198,816,0
274,824,0.5
863,830,0.5
740,874,0
1116,877,0
1118,877,0
718,885,0
1191,897,0
139,898,0
141.5,898,0
212,899,0
317,906,0
600,906,0
1202,905.67,0.6667
583.57,911.14,0.2857
718,915.5,0
895,916,0
342,941,0
344,941,0.5
363.86,944.71,1.4286
1142,945,0.5
497,947,0
527,948,0
370,957.6,0
374,958.67,0
346,966,0
343,970,0
539,977,0
820,977.5,0
813,979,0
324,986,1
640,986,0
653.67,988,0.3333
352,995,0
354,995,0
350,997.5,0.5
336,999,0
665,1001,0
667,1001,0
1021,1018.5,0.5
295,1021.5,0
309.73,1024.8,0.6364
765.5,1036,0.5
889.83,1038.8,0.8333
993,1043,0
565,1050,0
1257,1055.5,0.75
766.4,1056.3,0.9
352,1061,0
831.4,1080.2,0.6
532,1083,0.3333
503,1087,0
363.6,1088.4,0.2
553,1089,0.5
1021,1089,0
1023,1089.3,0.3333
