"col","row","z"
1494,182,0
1546,188,0
1682.8,193.2,0
1166.5,194,0
1405.9,200,1
1858,202,0
1408.5,203.5,0
1175,207.5,0
1845.8,207.75,0
959,208.5,0
1973.5,212,0
710,215,0
1861.7,217.33,0
776,218,0
1031.7,219.33,0
784,220,0
786,220,0
1881.4,221.78,1
2284,223,0
909.75,223.75,0.75
1399.5,224.5,0
1963.6,225.25,0.5
554,226,0
1532.1,227.67,0.4444
354,227,0
761,227.5,0
1978,228.11,0.5556
2241,232.5,0.5
1531,233,0
1703.5,233.5,0
1957.2,234.83,0
2271.1,234.43,0.7143
2368.4,234.9,1
1681,235,0
1535.5,236,0
1714,236,0
2409,236,0
2540,236,0
2538,237.5,0
545.88,239.38,0.75
2752.2,240.71,0.7143
2196.2,242.5,0
1939,245,0.5
2472,245,0.6667
1842,246,0.5
2036.6,247.05,1.8421
2341,247.5,0.5
1185.7,250.29,0.1429
2250,251,0.5
2400.6,252.83,0.5833
594.67,252.67,0
1058,252,0
1352,252.5,0.5
1581.8,255,0.3571
1338.3,254.33,0
2124,254,0
2617.5,257.5,0
196,258,0
1426.3,258.67,0
1427,261,0
2131,261,0
686,262,0
406,264.5,0
1641,264,0
1643,264,0
408,265.5,0.5
760,265,0
2033.5,265,0
2038,265,0
2711,266,0
1149,267.5,0
2050,267,0
1967.5,270.08,0.5
1895,270.67,1.3333
1099,271,0
829,275.19,1.0625
2185.5,273,0
2454,274,0
1033.6,276.38,0.5
1482,275,0
1657,275,0
1323.5,276.5,0
2227,276,0
2186,277,0
2225,278,0
2227,278.33,0.6667
1787,279,0.5
1789,279,0
2542.3,279.67,0.5
1154.5,280,0
430.5,281.25,0.75
609,281,0
1489,281,0
1933.8,282,1
2081.7,283.29,1.4286
2085.3,283.67,0.6667
2610,284,0
1501.4,286,0.4
2347,286.5,0
2698,286,0
1385,289,0
2394,289,0.5
2238.8,290.6,0.2
2084,292,0
2216,292,0
783,293.8,1.4
1550,294,0.5
889,295,0
1685,295,0
866,296,0.6667
1150,298,0
245,299,0
855,299,0
1536,299,0
1918.8,299,0.4
1915,301,0.5
1477,302,0
2625.4,303,0.5882
2309,303,0
787,305,0
2309,305,0.5
2392.2,306,1.0909
1181,306,0
2310,307,0
1841.5,309,0
2251,308.5,0
